Director,Directorship Type,Appointed
Ngeny Biwott (Board Chairman from August 2013),Non-Executive Independent,
Henry Rotich (Alternate - Julius Mutua),Non-Executive*,
Adil Khawaja,Non-Executive Independent,
Tom Ipomai,Non-Executive Independent,
Georgina Malombe,Non-Executive Independent,
John Nyerere,Non-Executive Independent,
Josephine Djirackor,Non-Executive Independent,
Joshua Oigara,Chief Executive Officer,
Lawrence Kimathi,Chief Financial Officer,
