"(141,007)","84,363","(438,141)","(273,702)"
"295,798
179,185
88,670
(531,343)","100,216
458,625
280,415
(308,992)","24,359
38,681
56,207
(307,934)","253
65
85
(24,932)"
"32,310","530,264","(188,687)","(24,529)"
"8,037,166","11,009,887","4,652,683","2,132,682"
"7,253,427
783,739","9,827,485
1,182,402","4,344,085
308,598","1,431,612
701,070"
"8,037,166","11,009,887","4,652,683","2,132,682"
"6,406,743","10,124,353","2,373,522","852,768"
"5,727,725
679,018","8,515,066
1,609,287","1,903,246
470,276","17,566
835,202"
"6,406,743","10,124,353","2,373,522","852,768"
