At 31 December 2024,"Computer
Software",Brand,"Customer
Relationship",Core Deposits,Goodwill,Total
,"28,878","1,322","2,150","8,120","3,070","43,540"
,"3,883",-,-,-,-,"3,883"
,"1,046",-,-,-,-,"1,046"
,"(2,015)",(212),(304),(741),(609),"(3,881)"
,"(5,987)",-,-,-,-,"(5,987)"
,,,,,,-
,"25,805","1,110","1,846","7,379","2,461","38,601"
,"21,245",366,493,"2,112",-,"24,216"
,"2,068",265,430,"1,778",-,"4,541"
,708,-,(231),(822),-,(345)
,"(4,755)",-,-,-,-,"(4,755)"
,"19,266",631,692,"3,068",-,"23,657"
,"6,539",479,"1,154","4,311","2,461","14,944"
