"New standard or
amendments","Effective for annual periods
beginning on or after"
"• Amendments to IFRS 10,IFRS 12 and IAS 27- Investment Entities (2012)",1 January 2014
"• Amendments to IAS 32-Offsetting Financial Assets and Financial Liabilities
(2011)",1 January 2014
"• Amendments to IAS 36-Recoverable Amount Disclosures for Non-Financial
Assets (2013)",1 January 2014
"• Amendments to IAS 39-Novation of Derivatives and continuation of Hedge
Accounting (2013)",1 January 2014
• IFRC 21 Levies (2013),1 January 2014
