"2013
Kshs.‘000","2012
Kshs.‘000"
"2.00
2013
Kshs","1.90
2012
Kshs"
"151,466
5,968,455
(5,643,646)","(5,492,180)
5,643,646
-"
"476,275","151,466"
"151,466
5,968,455
(5,643,646)","(5,492,180)
5,643,646
-"
"476,275","151,466"
