III OTHER DISCLOSURES,Column,Column,Column,Column,Column
"1NON-PERFORMING LOANS AND ADVANCES
a) Gross Non-performing loans and advances
b) Less Interest in Suspense
c)Total Non-Performing Loans and Advances (a-b)
d) Less Loan Loss Provision
e) Net Non-Performing Loans and Advances(c-d)
f) Discounted Value of Securities
g) Net NPLs Exposure (e-f)
2INSIDER LOANS AND ADVANCES
a) Directors, Shareholders and Associates
b) Employees
c)Total Insider Loans and Advances and other facilities
3OFF-BALANCE SHEET ITEMS
a)Letters of credit,guarantees, acceptances
b) Forwards, swaps and options
c) Other contingent liabilities
d)Total Contingent Liabilities","31-Dec-14
Kshs 000
Audited","31-Dec-15
Kshs 000
Audited","31-Dec-14
Kshs 000
Audited","31-Dec-15
Kshs 000
Audited",-
,"1 3,367,944
1 ,809,962","1 9,289,119
2 ,815,766","1 8,404,132
2 ,588,273","2 3,477,475
3 ,310,816",
,"1 1,557,982","1 6,473,353","1 5,815,858","2 0,166,660",
,"6 ,764,855","9 ,387,792","9 ,402,308","1 1,292,003",
,"4 ,793,127","7 ,085,561","6 ,413,551","8 ,874,656",
,"4 ,793,127","6 ,068,222","6 ,413,551","1 1,867,690",
,-,"1 ,017,339",( 0),"( 2,993,034)",
,"3 75,380
8 ,912,786","5 92,219
1 0,673,477","6 48,670
9 ,795,649","6 89,698
1 1,588,774",
,"9 ,288,166","1 1,265,696","1 0,444,319","1 2,278,472",
,"6 9,223,656
3 5,375,754
-","5 7,786,037
1 2,072,941","7 2,326,419
3 6,498,020
-","6 0,635,178
1 3,268,058
-",
,"1 04,599,410","6 9,858,978","1 08,824,439","7 3,903,236",
"4CAPITAL STRENGTH
a)Core capital
b) Minimum Statutory Capital
c)Excess (a-b)
d) Supplementary Capital
e) Total Capital (a+d)
f)Total risk weighted assets
g) Core Capital/Total deposits Liabilities
h) Minimum statutory Ratio
I) Excess
j) Core Capital / total risk weighted assets
k) Minimum Statutory Ratio
l) Excess (j-k)
m) Total Capital/total risk weighted assets
n) Minimum statutory Ratio
o) Excess (m-n)
5LIQUIDITY
a) Liquidity Ratio
b) Minimum Statutory Ratio
c) Excess (a-b)","57,805,191
1,000,000
5 6,805,191
1 3,405,197
7 1,210,388
3 38,877,072
20.9%
8.0%
12.9%
17.1%
10.5%
6.6%
21.0%
14.5%
6.5%
31.3%
20.0%
11.3%","5 6,103,143
1 ,000,000
5 5,103,143
4 ,969,281
6 1,072,424
3 97,490,368
16.1%
8.0%
8.1%
14.1%
10.5%
3.6%
15.4%
14.5%
0.9%
30.0%
20.0%
10.0%","6 3,450,395
6 ,114,986
5 7,335,409
5 ,084,557
6 8,534,952
4 06,764,524
16.8%
8.0%
8.8%
15.6%
10.5%
5.1%
16.8%
14.5%
2.3%
43.7%
20.0%
23.7%","7 3,340,524
6 ,803,947
6 6,536,577
5 ,840,576
7 9,181,100
4 67,246,047
17.3%
8.0%
9.3%
15.7%
10.5%
5.2%
16.9%
14.5%
2.4%
48.3%
20.0%
28.3%",
