Board Committee,Key Activities
"Nomination Committee
The Committee keeps under review the structure,
size and composition of the Board as well as
succession planning for Directors. It leads the
process for identifying, nominating for approval
by the Board, candidates to fill Board vacancies.","During the year, the committee reviewed the Board succession plans for the Group
as well as the skills matrix for the Board and its subsidiaries.
The committee identified and nominated two directors for approval by the Board to
fill in casual vacancies.
Members
Andrew W. Kairu (Chairman)
Alice Kirenge
Lawrence Njiru
Ahmed Mahmoud
Anuja Pandit
Paul Russo"
"Strategy & IT Committee
The purpose of the committee is to assist
the Board in meeting its responsibilities by
ensuring the adequacy and effectiveness
of the Company’s strategic plans, significant
investment decisions, strategic development
plans and financial budgets. Ensuring also that
Group’s IT governance supports effective and
efficient management of IT risks and resources
to facilitate the achievement of the Group’s
strategic objectives and compliance with
regulatory requirements.","The Committee reviewed the performance of the Group against the set strategy. The
Committee further reviewed the proposed 2023 strategic initiatives, financial plans
and budgets proposed by management.
The committee received and considered reports on the performance of the Groups
Information Technology systems and the progress in improved uptime and availability.
Members
Geoffrey Malombe (Chairman)
Dr. Obuya Bagaka
Ahmed Mahmoud
Paul Russo"
"Oversight Committee
The purpose of the Committee is to ensure that
the KCB Group Board has total and complete
oversight of the subsidiaries.","The committee reviewed large advances for amounts above Kes. 1 billion by
the subsidiaries of the Group as well as procurement by subsidiaries where the
expenditure exceeded Kes. 100 million.
The committee further received quarterly updated on governance matters and on
litigation cases for claim amounts of above Kes. 200 million across all subsidiaries.
Members
Lawrence Njiru (Chairman)
Dr. Obuya Bagaka
Geoffrey Malombe
Paul Russo"
