Financial position,"Corporate
banking","Retail
banking",Treasury,Mortgages,Other,Total
As at 31 December 2024,Kshs million,Kshs million,Kshs million,Kshs million,Kshs million,Kshs million
,-,"114,420","577,247",-,-,"691,667"
,"469,254","392,929",-,"77,028","51,202","990,413"
,-,-,-,-,"280,240","280,240"
,"469,254","507,349","577,247","77,028","331,442","1,962,320"
,"624,543","668,140","44,036","38,309","6,947","1,381,975"
,-,-,"69,273",-,-,"69,273"
,-,-,"68,463",-,"159,630","228,093"
,-,-,-,-,"282,979","282,979"
,"624,543","668,140","181,772","38,309","449,556","1,962,320"
