FY 21,H1 22,Q3 22,Column,"KCB
Kenya","KCB
Group"
,23.0%,23.3%,,28.1%,23.0%
,45.7%,45.1%,Cost to income,38.0%,45.7%
,21.5%,18.2%,Gross NPL to gross loans,19.6%,17.3%
,54.6%,61.4%,NPL regulatory coverage,57.7%,60.7%
,22.5%,33.4%,Debt to equity,44.2%,31.8%
,32.1%,33.2%,Non funded income (NFI) to total income,34.4%,33.3%
,21.8%,25.8%,Mobile NFI to total fees and commissions,34.5%,25.2%
,3.0%,3.0%,Cost of funds,3.0%,3.1%
,7.0%,7.0%,Net interest margin,7.3%,7.0%
,1.2%,1.4%,Cost of risk,1.4%,1.7%
,80.4%,82.3%,Net loans to deposits ratio,88.5%,76.2%
,23.5%,21.7%,Government and other securities to total assets,21.2%,19.1%
,20.3%,16.4%,Growth of net loans and advances,16.0%,27.8%
,15.6%,7.4%,,11.2%,35.6%
