"Corporate
KShs million","Mortgages
KShs million","Retail
KShs million","Total
KShs million"
"17,312","1,392","14,597","33,301"
"25,348","1,684","9,775","36,807"
"(5,079)","(1,202)","(4,423)","(10,704)"
"(8,279)",-,-,"(8,279)"
"29,302","1,874","19,949","51,125"
"5,284",287,"6,815","12,386"
"1,222",955,(771),"1,406"
"6,506","1,242","6,044","13,792"
"35,808","3,116","25,993","64,917"
