FY 24,H1 25,Q3 25,Column,KCB Kenya,KCB Group
,22.2%,21.6%,,23.8%,22.5%
,46.0%,46.2%,Cost to income,34.8%,42.3%
,18.7%,17.8%,Gross NPL to gross loans,19.9%,16.9%
,51.8%,54.5%,NPL regulatory coverage,76.1%,59.0%
,25.9%,26.7%,Debt to equity,31.6%,27.2%
,29.9%,30.2%,Non funded income (NFI) to total income,25.5%,30.8%
,3.9%,3.7%,Cost of funds,3.7%,3.8%
,7.2%,7.0%,Net interest margin,8.2%,7.7%
,2.2%,2.1%,Cost of risk,3.2%,2.8%
,73.7%,74.7%,Net loans to deposits ratio,76.0%,72.3%
,21.6%,22.1%,Government and other securities to total assets,22.2%,21.1%
,6.1%,8.2%,Growth in net loans and advances,17.7%,16.3%
,(0.3%),(0.8%),,17.3%,15.2%
