Note,"2021
KShs million","2020
KShs million"
8,"114,826","96,261"
8,"(24,463)","(21,209)"
,"90,363","75,052"
9,"11,794","11,426"
9,"(1,360)","(1,163)"
,"10,434","10,263"
10,"6,547","5,390"
11,"1,290","4,360"
33,689,-
,"109,323","95,065"
12,"(13,998)","(27,509)"
13,284,393
,"(13,714)","(27,116)"
,"95,609","67,949"
14,"(25,070)","(20,511)"
15,"(6,028)","(5,919)"
16,"(16,952)","(15,930)"
18,216,130
,"47,775","25,719"
,40,-
,"47,815","25,719"
19,"(13,642)","(6,115)"
,"34,173","19,604"
,"34,092","19,604"
,81,-
,"34,173","19,604"
20,10.61,6.10
,10.61,6.10
