RESOLUTION,FOR,AGAINST,ABSTAIN
"Proposed amendment to the Articles of Association
To consider and, if thought fit, pass the following resolutions BY WAY OF SPECIAL RESOLUTION:
THAT, the Articles of Association of the Company be amended by deleting Article 112 in its entirety
and substituting with the following new Article:
“112 Where the Company elects to maintain the seal, the Directors shall provide for safe custody of
the seal which shall only be used by the authority of the Directors or of a committee of the Directors
authorized by the Directors in that behalf; and every instrument to which the seal shall be affixed
shall be signed by two Directors or one Director and the Company Secretary or one director and such
other person as the Directors may appoint for the purpose.”",,,
"Acquisition of up to 100% of the issued share capital of Banque Populaire Du Rwanda Plc
The acquisition by KCB of up to 100% of the issued shares in Banque Populaire Du Rwanda
PLC (“BPR”), in accordance with, and on the terms set out in the share purchase agreement
between KCB and the relevant counterparties and as a result of which, upon completion BPR
would become a subsidiary of KCB, be and is hereby approved.",,,
"Acquisition of up to 100% of the issued share capital of African Banking Corporation Tanzania
Limited
The acquisition by KCB of up to 100% of the issued shares in African Banking Corporation
Tanzania Limited (“BancABC Tanzania”), in accordance with, and on the terms set out in the share
purchase agreement between KCB and the relevant counterparties and as a result of which, upon
completion BancABC Tanzania would become a subsidiary of KCB, be and is hereby approved.",,,
"The board of directors of KCB be and is hereby authorised to do all such things and take all such
steps as are necessary to give effect to the above resolutions.",,,
