Q3 2020,Q3 2021,"Y-O-Y
Change"
49.9,56.9,14%
(11.4),(11.9),5%
38.5,45.0,17%
2.2,2.5,16%
11.3,11.0,(3%)
3.0,3.1,2%
55.0,61.7,12%
(21.2),(23.2),10%
(18.7),(8.0),(57%)
15.1,30.5,102%
(5.3),(9.1),73%
9.9,21.4,117%
