KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"30-Jun-21
Kshs 000
Un-audited","31-Mar-21 31-Dec-20 30-Jun-20
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
7,615,802 7,597,722 6,074,983
27,913,129 25,839,259 39,115,841
405,097 2,019,227 -
- - -
72,058,395 69,422,464 51,069,643
- - -
68,656,825 71,106,673 96,905,532
- - 1,724,468
2,459,041 3,097,833 4,991,259
5,373,275 8,662,093 15,080,084
- 247,078 -
496,213,998 492,537,561 464,006,913
5,058,801 5,715,418 4,926,699
600,000 600,000 600,000
- - -
- - -
6,287,000 6,035,000 5,642,223
9,150,404 9,977,222 10,023,093
121,396 122,019 123,268
4,398,952 4,443,725 5,177,506
14,975,006 13,789,704 9,232,651
- - -
23,174,407 37,132,433 15,598,651","30-Jun-21
Kshs 000
Un-audited","31-Mar-21 31-Dec-20 30-Jun-20
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
1,249,469 1,100,330 1,292,929
4,133,434 3,750,586 9,456,491
- - -
- - -
- - -
33,614,230 34,460,222 34,555,655
- - -
15,148,032 15,096,249 9,445,632
- - -
1,367,120 1,357,790 1,054,278
1,234,389 755,496 1,181,205
306,432 304,692 304,204
57,668,263 55,539,275 50,273,213
- - -
616,044 630,353 547,967
24,963 24,963 19,963
- - -
- - -
4,213,320 4,374,108 4,337,707
- - -
665,434 744,447 882,274
3,052,139 3,136,380 2,472,655
- - -
6,294,900 5,566,729 3,401,285","30-Jun-21
Kshs 000
Un-audited","31-Mar-21 31-Dec-20 30-Jun-20
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - 24,473
1,160,495 1,146,705 1,535,438
- - -
- 24,920 28,743
- - -
9,473,050 212,778 1,002,490
- - -
79,661,797 79,661,797 79,227,397
- - -
- - -
614,904 616,428 616,984
- - -
7,091 7,597 8,610
1,706 - 9,906
- - -
14,550 33,330 53,531","30-Jun-21
Kshs 000
Un-audited"
"7,078,197",,"940,995",,-,,"14,393,282"
"44,807,278",,"4,081,795",,-,,"48,889,073"
-,,-,,-,,-
-,,-,,-,,-
,,-,,,,
"72,359,602",,"33,356,840",,-,,"106,067,077"
-,,-,,-,,"11,293,433"
"70,731,155",,"17,696,797",,-,,"89,011,282"
-,,-,,-,,"6,668,276"
"5,847,046",,"1,352,368",,"3,993,311",,"7,199,414"
"13,423,354",,"2,622,821",,-,,"45,349,403"
-,,"295,415",,-,,-
"497,927,674",,"60,376,595",,-,,"606,967,409"
"1,911,824",,-,,"4,124,299",,-
"600,000",,"670,824",,-,,"1,270,824"
-,,"24,963",,"79,661,797",,-
-,,-,,-,,-
"11,137,000",,-,,-,,"11,137,000"
"9,188,711",,"4,076,935",,"613,219",,"18,180,756"
"120,772",,-,,-,,"118,767"
"4,023,087",,"634,903",,"6,584",,"5,081,917"
"15,940,264",,"2,826,975",,"1,999",,"19,403,782"
-,,-,,-,,-
"24,786,290",,"4,675,744",,"47,748",,"31,121,316"
