Company,Up to 1 month,1 - 3 months,3 - 12 months,1 - 5 years,Over 5 years,Total
At 31 December 2024,Kshs million,Kshs million,Kshs million,Kshs million,Kshs million,Kshs million
,835,554,-,-,-,"1,389"
,-,-,-,-,-,-
,896,,,"3,879",,"4,775"
,-,"1,062",,,,"1,062"
,-,-,-,-,-,-
,-,-,-,-,-,-
,-,-,-,-,-,-
,-,-,-,-,-,-
,-,-,-,-,-,-
,379,,,,,379
,"2,110","1,616",-,"3,879",-,"7,605"
,-,-,-,-,-,-
,-,-,-,-,-,-
,-,"6,393",,"3,879",,"10,272"
,-,-,-,-,-,-
,-,-,-,-,-,-
,900,,,,,900
,900,"6,393",-,"3,879",-,"11,172"
,"1,210","(4,777)",-,-,-,"(3,567)"
