GROUP,Column,BANK,Column
,"2013
KShs ‘000","2014
KShs ‘000",
"21,289,713","32,407,572","19,894,188","30,927,283"
"2,437,594","2,825,620","1,674,695","2,130,000"
"2,613,117","1,254,356",-,-
,"36,487,548","21,568,883",
