KCB Bank Kenya,Column,Column
H1 21,H1 22,Y-O-Y
,,Change
36.8,39.9,8%
(7.5),(9.5),26%
29.3,30.3,4%
1.6,3.6,127%
7.0,8.4,20%
1.8,2.1,16%
10.4,14.1,36%
39.7,44.4,12%
(15.1),(17.3),15%
(5.9),(3.3),(44%)
18.8,23.8,27%
(5.6),(7.3),32%
13.2,16.5,25%
