KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"31-Dec-22
KShs 000
Audited","31-Dec-21
KShs 000
Audited
9,372,477
27,674,664
2,583,083
-
88,570,009
-
94,334,482
2,065,054
4,046,727
4,317,828
-
529,280,381
4,303,501
401,675
-
-
10,227,387
9,806,117
119,523
3,771,158
18,473,135
-
17,047,723","31-Dec-22
KShs 000
Audited","31-Dec-21
KShs 000
Audited
1,250,983
7,722,963
-
-
-
33,049,950
295,081
20,024,351
-
1,852,529
496,359
-
67,045,738
-
649,876
24,963
-
-
4,119,087
-
612,378
3,317,439
-
6,081,608","31-Dec-22
KShs 000
Audited","31-Dec-21
KShs 000
Audited
-
-
-
-
-
-
-
-
517,007
-
93,053
-
1,799,959
-
87,963,501
-
-
614,434
-
5,571
-
-
3,703","31-Dec-22
KShs 000
Audited"
"10,332,230",,"1,432,365",,-,,"29,290,313"
"32,017,676",,"3,806,747",,-,,"35,824,423"
-,,-,,-,,"17,403,315"
-,,-,,-,,-
,,-,,,,
"126,184,144",,"24,564,568",,-,,"151,200,443"
-,,"295,081",,-,,"13,321,996"
"77,640,039",,"23,831,380",,-,,"102,147,970"
"2,065,406",,-,,-,,"11,349,927"
"1,700,652",,"1,722,415",,"711,662",,"1,722,415"
"23,430,225",,"856,588",,-,,"187,926,359"
"2,306,005",,"35,633",,"90,291",,"336,465"
"613,892,181",,"71,188,674",,-,,"863,268,077"
"10,228,308",,"20,504",,-,,-
"446,875",,"630,147",,-,,"1,077,022"
-,,"24,963",,"114,270,238",,-
-,,-,,-,,-
"12,600,607",,-,,-,,"12,600,607"
"9,812,222",,"2,107,445",,"828,090",,"29,729,053"
"117,027",,-,,-,,"122,313"
"3,439,459",,"413,519",,"3,545",,"21,214,824"
"20,130,483",,"4,423,855",,"109,865",,"25,757,832"
-,,-,,-,,-
"25,009,222",,"7,415,390",,"61,405",,"49,736,614"
"971,352,761","826,394,924","142,769,274","146,543,305","116,075,096","90,997,228","1,554,029,968"
,"-
624,480,440
3,717,079
6,060,540
-
33,621,640
-
5,287,663
5,938,471
-
458,000
23,007,626",,"3,496,740
106,103,099
10,554,365
7,455,621
-
-
-
215,227
274
-
-
2,353,257",,"-
-
-
-
-
-
-
-
-
7,007
-
605,261",
"37,227,730",,-,,-,,"37,227,730"
"694,515,583",,"105,675,307",,-,,"1,135,417,382"
"14,203,190",,"12,276,816",,-,,"24,466,261"
"11,388,422",,"6,213,529",,-,,"31,093,170"
-,,-,,-,,-
"54,574,726",,"628,790",,-,,"63,609,957"
"1,321,852",,"38,104",,"2,360,330",,-
-,,-,,-,,-
"3,213,463",,-,,-,,-
-,,-,,-,,"4,492,295"
"585,000",,-,,-,,"585,000"
"30,928,460",,"2,846,796",,"765,947",,"50,861,910"
"847,958,426","702,571,459","127,679,342","130,178,583","3,126,277","612,268","1,347,753,705"
,"53,986,100
-
-
60,677,534
5,346,700
(1,045,618)
4,858,749
-",,"12,683,038
3,141,319
1,200,558
(5,190,271)
4,520,549
9,529
-
-",,"3,213,463
27,690,149
-
49,840,959
-
-
9,640,389
-",
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463"
-,,"3,141,319",,"27,690,149",,"27,690,149"
-,,-,,-,,"2,487,666"
"42,463,463",,"(4,324,159)",,"75,618,281",,"147,205,910"
"26,755,145",,"4,374,215",,-,,"26,707,228"
"(4,195,571)",,"(784,481)",,-,,"(13,530,926)"
"4,385,198",,-,,"6,426,926",,"6,426,926"
-,,-,,-,,-
"123,394,335","123,823,465","15,089,932","16,364,722","112,948,819","90,384,960","200,200,416"
-,-,-,-,-,-,"6,075,847"
"971,352,761","826,394,924","142,769,274","146,543,305","116,075,096","90,997,228","1,554,029,968"
,"59,273,049
17,896,923
1,194,727
-",,"6,301,436
5,761,130
170,981
6,221",,"140,487
-
16,662
-",
"59,625,463",,"7,499,952",,-,,"84,174,056"
"23,482,989",,"5,616,106",,-,,"32,860,929"
"222,611",,"40,017",,"19,383",,"716,455"
-,,"35,501",,-,,-
"83,331,063","78,364,699","13,191,576","12,239,768","19,383","157,149","117,751,440"
,"14,665,787
1,819,184
373,643",,"2,941,403
687,169
347,976",,"-
-
-",
"17,834,494",,"3,123,059",,-,,"25,213,637"
"3,777,636",,"853,860",,-,,"5,415,481"
"337,545",,"171,048",,-,,"469,013"
"21,949,675","16,858,614","4,147,967","3,976,548",-,-,"31,098,131"
"61,381,388","61,506,085","9,043,609","8,263,220","19,383","157,149","86,653,309"
,"8,278,303
6,648,903
3,951,977
-
3,399,876",,"84,686
691,150
666,907
100,021
305,043",,"32,385
-
51,613
15,688,218
1,154,508",
"9,687,992",,"182,740",,-,,"10,639,803"
"7,489,825",,"781,435",,-,,"12,347,508"
"8,916,989",,"964,611",,"13,504",,"11,078,891"
-,,-,,"32,824,414",,-
"5,274,148",,"390,978",,"1,412,053",,"9,185,313"
"31,368,954","22,279,059","2,319,764","1,847,807","34,249,971","16,926,724","43,251,515"
"92,750,342","83,785,144","11,363,373","10,111,027","34,269,354","17,083,873","129,904,824"
,"10,702,886
16,915,986
542,156
159,150
2,145,492
1,630,771
11,185,470",,"1,014,004
4,266,885
26,719
141,700
762,341
364,429
2,147,992",,"-
1,044,027
46,920
-
13,669
2,026
447,212",
"8,560,331",,"2,003,475",,-,,"13,206,881"
"18,518,101",,"4,694,743",,"1,210,780",,"30,262,179"
"433,849",,"35,038",,"78,244",,"536,697"
"185,795",,"123,551",,-,,"464,550"
"2,169,789",,"589,774",,"15,693",,"3,990,091"
"1,517,741",,"285,536",,"2,026",,"2,624,814"
"12,453,787",,"2,783,626",,"840,816",,"21,488,259"
"43,839,393","43,281,911","10,515,743","8,724,070","2,147,559","1,553,854","72,573,471"
"48,910,949","40,503,233","847,630","1,386,957","32,121,795","15,530,019","57,331,353"
-,-,-,-,-,-,-
"48,910,949","40,503,233","847,630","1,386,957","32,121,795","15,530,019","57,331,353"
"(14,684,118)","(16,203,222)
4,289,120","(553,222)","(531,628)
162,261","(34,419)","(22,289)
3,145","(17,034,861)"
"509,282",,"425,371",,"116,872",,"541,243"
"34,736,113","28,589,131","719,779","1,017,590","32,204,248","15,510,875","40,837,735"
-,-,-,-,-,-,"224,219"
"34,736,113","28,589,131","719,779","1,017,590","32,204,248","15,510,875","40,613,516"
,"-
(896,372)
(418,000)
-
394,312",,"-
(62,663)
-
-
18,799",,"-
-
-
-
-",
-,,-,,-,,"787,000"
"(4,281,932)",,"(1,134,300)",,-,,"(4,218,406)"
"(218,000)",,-,,-,,"(218,000)"
-,,-,,-,,-
"1,349,980",,"340,290",,-,,"1,330,922"
"(3,149,952)","(920,060)","(794,010)","(43,864)",-,-,"(2,318,484)"
"31,586,161","27,669,071","(74,231)","973,726","32,204,248","15,510,875","38,295,032"
0.64,0.53,0.11,0.08,-,-,12.71
