"Date of change
(Month)",Legislation,Change,Impact to KCB
,,"Highlights the formula of calculating the value of the
benefit derived from an ESOP scheme run by an
organization and further factors in the correct value
of the benefit accrued to the employee relative to the
market price at the time the employee exercises the
option","The amendment
changes the point
at which the benefit
accrues to the
employee from the date
“the option is granted
by the employer” to
the date “when the
employee exercises the
option.”"
,,"Provides for personal relief in the form of insurance relief
on insurance premiums paid in respect of life insurance
cover to be more gender neutral.","KCBIL to ensure that
insurance relief on
insurance premium
takes gender-neutral
approach."
,"Finance Act, 2022:
Excise Duty Act","First Schedule - Part II Paragraph 6: 20% excise duty on
fees to be charged by digital lenders","The bank’s digital
lending products to
factor in 20% in their
products."
,"Finance Act, 2022:
Tax Procedures Act","Commissioner to secure unpaid taxes by directing
property registrars to place disposal and transaction
caveats or restrictions on assets/properties to recover
unpaid tax by disposing the property if the taxpayer
does not pay within two months of notification.","Securities held by
the bank may be
compromised if the
taxpayers fail to settle
their liabilities with KRA."
,,"KRA agency notice period amended from 7 days to 14
days and the tax commissioner must have initiated a
tax dispute process with the taxpayer.","KRA agency notices
to reflect 14 days
instead of 7 days. The
Tax Commissioner
is restricted from
attaching bank
accounts for collection
of funds until and unless
the tax dispute process
is duly observed."
,"Finance Act, 2022:
Capital Markets Act","Licensing requirements for operating as an investment
advisor or fund manager introduced.","KCB Investment Bank
Limited to ensure
investment advisors
and fund managers are
licensed."
,"Finance Act, 2022:
Unclaimed Financial
Assets Act","Introduction of waiver of penalties and fines payable for
non-delivery of unclaimed financial assets.","Upon justifiable cause,
the bank will be able to
avoid extra penalties
and fines."
July 2022,"National Government
Constituencies
Development Fund
(Amendment) Act, 2022","Number of accounts to be opened by each
Constituency for CDF purposes increased from 1 to 2
and to be known as:
• Constituency Operations Account.
• Constituency Deposit Account.","Additional account
provisions for operation
purposes."
