Non funded income growth,25.0%
NFI Ratio,34.0%
Cost/ Income ratio,47.0%
Operating expenses,6.0%
Cost of funds,3.0%
Cost of Risk,1.2%
NPL Ratio,7.0%
NIM,8.3%
Asset yield,11.3%
Loan growth,9.0%
Deposit growth,9.0%
ROA,3.60%
ROE,23.0%
