ROAA,3.9%
ROAE,24.0%
"Tier 1 Ratio (old prudential guidelines)
Tier 1 Ratio (new prudential guidelines)","23.2%
18.0%"
"Tier 2 Ratio (old prudential guidelines)
Tier 2 Ratio (new prudential guidelines)","27.8%
21.6%"
NIM,9.9%
CIR,49.1%
Number of staff,"5,444"
