RETAIL-MORTGAGE,Column,Column,Column,Column
,220,93,"1,159","1,472"
,24,(13),(11),-
,(24),63,(39),-
,(3),3,-,-
,2,24,570,596
,105,77,52,234
,(38),(17),(360),(415)
,286,230,"1,371","1,887"
