"Share
capital","Share
premium","Retained
earnings","Proposed
dividends",Total
"Ksh
Million","Ksh
Million","Ksh
Million","Ksh
Million","Ksh
Million"
"3,213","27,690","75,937","4,820","111,660"
-,-,"15,837",-,"15,837"
,,,,-
-,-,-,-,-
"3,213","27,690","91,774","4,820","127,497"
-,-,-,"(4,820)","(4,820)"
-,-,"(12,854)",-,"(12,854)"
-,-,"(9,640)","9,640",-
-,-,"(22,494)","4,820","(17,674)"
"3,213","27,690","69,280","9,640","109,823"
