COUNTRY: KENYA,Column,Column,Column
"Date of
change",Legislation,Change,Impact to KCB
"January
2024","The Land
Registration
(General)
(Amendment)
Regulations 2023",""" The amendments reviewed the fees and charges
payable for the registration of documents or
instruments at the Lands Registry.",""" Increases the cost of legal services related
to land transactions, ultimately increasing
the cost of obtaining credit"
March 2024,"Social Health
Insurance Act
Regulations 2024",""" The regulations operationalized the Social Health
Insurance Act and provided the registration
requirements and the monthly statutory
deduction to the Social Health Insurance Fund at
a rate of 2.75% of the gross salary or wage of the
household.",""" Compliance by deduction and submission
of the contributions by the 9th day of each
month
"" Compliance by informing the Authority of
any changes in the employment status of
its employees within 30 days"
March 2024,"Affordable Housing
Act",""" The Act provides the framework for development
and access to affordable and institutional
housing as well as imposition of the housing levy
at 1.5% of the gross salary of employees which is
matched by the employer.",""" Increased staff costs through the employer9s
matching of the employee contribution
towards the affordable housing.
"" Compliance to deduct 1.5% housing levy
from employee9s gross salary.
"" Compliance by remitting the deductions
not later than the 9th working day after the
end of the month"
