2025,Column,Column,2024,Column,Column
Ksh million,1%,1%,Ksh million,1%,1%
"Carrying
amount",Increase,Decrease,"Carrying
amount",Increase,Decrease
"228,275","2,283","(2,283)",,,
"158,320","1,583","(1,583)",,,
"172,126","1,721","(1,721)",,,
"46,366",463,(463),,,
"235,227","2,352","(2,352)",,,
-,-,-,,,
"44,388",444,(444),,,
"1,148,176","11,482","(11,482)",,,
"3,400",34,(34),,,
172,2,(2),,,
"2,036,454","20,365","(20,365)",,,
"63,163",(632),632,,,
"1,592,612","(15,926)","15,926",,,
"4,292",(43),43,,,
708,(7),7,,,
"37,340",(373),373,,,
"90,151",(902),902,,,
"1,788,299","(17,883)","17,883",,,
,"2,482","(2,482)",,,
,745,(745),,,
,"1,737","(1,737)",,,
