KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"30-Sep-22
Kshs 000
Un-audited",,"30-Sep-22
Kshs 000
Un-audited","30-Jun-22 31-Mar-22 31-Dec-21 30-Sep-21
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
563,400 221,107 1,014,004 412,544
2,424,784 1,095,477 4,266,885 3,237,275
13,788 6,469 26,719 18,995
111,023 34,682 141,700 78,294
316,822 166,332 762,341 528,377
162,542 82,337 364,429 280,389
1,206,971 581,308 2,147,992 1,644,634","30-Sep-22
Kshs 000
Un-audited","30-Jun-22 31-Mar-22 31-Dec-21 30-Sep-21
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
- - - -
504,346 237,970 1,044,027 450,981
42,290 17,202 46,920 35,669
- - - -
7,491 3,715 13,669 10,153
1,013 506 2,026 1,519
193,430 71,310 447,212 303,696","30-Sep-22
Kshs 000
Un-audited"
"5,481,222",,"870,907",,-,,"7,267,757"
"13,263,814",,"3,551,230",,"911,038",,"21,287,766"
"430,629",,"23,403",,"55,553",,"547,949"
"133,980",,"147,320",,-,,"406,648"
"1,625,207",,"461,801",,"11,434",,"2,920,335"
"1,134,646",,"235,087",,"1,519",,"2,124,309"
"8,998,767",,"1,996,695",,"407,717",,"14,285,942"
"31,068,265","20,598,151 9,914,984 43,281,911 31,171,621","7,286,443","4,799,330 2,187,712 8,724,070 6,200,508","1,387,261","748,570 330,703 1,553,854 802,018","48,840,706"
"37,084,146","23,842,408 11,813,397 40,503,233 30,478,508","1,080,754","964,149 479,472 1,386,957 1,415,097","5,382,180","5,316,361 4,660,662 15,530,019 15,541,897","43,303,947"
-,- - - -,-,- - - -,-,- - - -,-
"37,084,146","23,842,408 11,813,397 40,503,233 30,478,508","1,080,754","964,149 479,472 1,386,957 1,415,097","5,382,180","5,316,361 4,660,662 15,530,019 15,541,897","43,303,947"
"(10,533,591",") (8,082,910) (3,807,407) (16,203,222) (11,798,501)
) 757,837 264,040 4,289,120 2,687,724","(305,352)","(487,812) (73,174) (531,628) (233,015)
185,420 (69,433) 162,261 (105,129)","(14,273)","(1,220) (4,792) (22,289) (84,453)
88,697 51,710 3,145 3,798","(12,624,996)"
"(258,974",,"31,661",,"53,423",,"(84,123)"
"26,291,581","16,517,335 8,270,030 28,589,131 21,367,731","807,063","661,757 336,865 1,017,590 1,076,953","5,421,330","5,403,838 4,707,580 15,510,875 15,461,242","30,594,828"
-,- - - -,-,- - - -,-,- - - -,"135,847"
"26,291,581","16,517,335 8,270,030 28,589,131 21,367,731","807,063","661,757 336,865 1,017,590 1,076,953","5,421,330","5,403,838 4,707,580 15,510,875 15,461,242","30,458,981"
,"- - - -
) (3,275,679) (1,667,844) (896,372) (154,471)
- - (418,000) -
- - - -
982,704 500,353 394,312 46,341",,"- - - -
(1,129,767) (454,637) (62,663) 98,617
- - - -
- - - -
337,372 136,391 18,799 (29,585)",,"- - - -
- - - -
- - - -
- - - -
- - - -",
-,,-,,-,,"2,845,551"
"(4,363,799",,"(1,286,398)",,-,,"(7,155,977)"
-,,-,,-,,-
-,,-,,-,,-
"1,309,140",,"385,919",,-,,"2,146,793"
"(3,054,659)","(2,292,975) (1,167,491) (920,060) (108,130)","(900,479)","(792,395) (318,246) (43,864) 69,032",-,- - - -,"(2,163,633)"
"23,236,922","14,224,360 7,102,539 27,669,071 21,259,601","(93,416)","(130,638) 18,619 973,726 1,145,985","5,421,330","5,403,838 4,707,580 15,510,875 15,461,242","28,431,195"
0.65,0.61 0.61 0.53 0.40,0.13,0.10 0.11 0.08 0.12,2.25,3.36 5.86 4.83 6.42,12.64
0.06,- - 0.20 0.11,-,- - - -,,,1.00
,"141,106,429 98,913,323 92,193,441 66,118,828
9,617,156 8,561,371 7,693,505 7,103,779",,,,,
"123,921,892",,"20,801,105",,,,"149,294,098"
"10,627,752",,"2,534,832",,,,"13,495,316"
"113,294,140","131,489,273 90,351,952 84,499,936 59,015,049","18,266,273",,,,"135,798,782"
"53,112,468","49,794,507 41,315,519 38,766,900 35,956,793","9,928,036",,,,"65,374,411"
"60,181,672","81,694,766 49,036,433 45,733,036 23,058,256","8,338,237",,,,"70,424,371"
"52,124,826","66,859,940 44,761,576 40,764,309 21,242,336","8,168,334",,,,"62,161,275"
"8,056,846","14,834,826 4,274,857 4,968,727 1,815,920","169,903",,,,"8,263,096"
,"1,749,235 1,717,455 1,635,949 1,632,645
14,684,613 14,605,949 14,660,678 14,593,973",,,,,
"11,042,202",,45,,,,"1,196,078"
"14,764,935",,"5,713,443",,,,"22,795,846"
"25,807,137","16,433,848 16,323,404 16,296,627 16,226,618","5,713,488",,,,"23,991,924"
,"112,856,455 112,478,087 74,967,657 63,203,276
8,674,370 14,005,698 20,040,940 33,991,844
- - - -",,,,,
"114,016,500",,"6,632,984",,,,"141,516,539"
"17,975,280",,"6,087,075",,,,"25,278,481"
-,,-,,,,-
"131,991,780","121,530,825 126,483,785 95,008,597 97,195,120","12,720,059",,,,"166,795,020"
"95,858,311","108,724,207 112,443,731 107,656,861 101,182,772","10,078,042",,,,"143,624,523"
