III OTHER DISCLOSURES,BANK,Column,Column,Column,GROUP CONSOLIDATED,Column,Column,Column
"1NON-PERFORMING LOANS AND ADVANCES
a) Gross Non-performing loans and advances
b) Less Interest in Suspense
c)Total Non-Performing Loans and Advances (a-b)
d) Less Loan Loss Provision
e) Net Non-Performing Loans and Advances(c-d)
f) Discounted Value of Securities
g) Net NPLs Exposure (e-f)
2INSIDER LOANS AND ADVANCES
a) Directors, Shareholders and Associates
b) Employees
c)Total Insider Loans and Advances and other facilities
3OFF-BALANCE SHEET ITEMS
a)Letters of credit,guarantees, acceptances
b) Forwards, swaps and options
c) Other contingent liabilities
d)Total Contingent Liabilities","30-Jun-12
Kshs 000
Un-Audited","31-Dec-12
Kshs 000
Audited","31-Mar-13
Kshs 000
Un-Audited","30-Jun-13
Kshs 000
Un-Audited","30-Jun-12
Kshs 000
Un-Audited","31-Dec-12
Kshs 000
Audited","31-Mar-13
Kshs 000
Un-Audited","30-Jun-13
Kshs 000
Un-Audited"
,"1 1,428,338
1 ,514,094","1 2,019,204
1 ,543,869","1 3,306,631
1 ,659,104","1 6,064,951
1 ,527,283","1 3,140,556
1 ,625,010","1 4,750,335
1 ,816,184","1 6,130,777
1 ,936,578","1 8,654,240
1 ,851,909"
,"9 ,914,244","1 0,475,335","1 1,647,527","1 4,537,668","1 1,515,546","1 2,934,151","1 4,194,199","1 6,802,331"
,"5 ,556,106","6 ,852,370","6 ,750,614","7 ,251,265","6 ,415,385","7 ,599,324","6 ,697,735","7 ,985,846"
,"4 ,358,138","3 ,622,965","4 ,896,913","7 ,286,403","5 ,100,161","5 ,334,827","7 ,496,464","8 ,816,485"
,"2 ,817,334","2 ,279,721","2 ,687,390","6 ,509,727","3 ,559,357","3 ,991,583","5 ,286,941","8 ,039,808"
,"1 ,540,804","1 ,343,244","2 ,209,523","7 76,676","1 ,540,804","1 ,343,244","2 ,209,523","7 76,677"
,"1 ,694,438
6 ,102,116","4 03,996
7 ,069,329","1 ,181,118
7 ,234,683","7 60,059
6 ,971,542","1 ,781,401
6 ,386,797","5 39,240
7 ,772,246","1 ,316,362
7 ,937,600","9 83,175
7 ,695,999"
,"7 ,796,554","7 ,473,325","8 ,415,801","7 ,731,601","8 ,168,198","8 ,311,486","9 ,253,962","8 ,679,174"
,"9 1,988,192
3 2,912,033
-","1 00,674,117
2 6,577,095
-","8 7,713,049
2 9,357,968
-","8 7,908,981
1 6,642,503
-","9 3,054,286
3 3,174,540
-","1 02,024,865
2 8,343,231
-","8 8,563,075
2 9,858,690
-","8 9,708,638
1 6,916,595
-"
,"1 24,900,225","1 27,251,212","1 17,071,017","1 04,551,484","1 26,228,826","1 30,368,096","1 18,421,765","1 06,625,233"
"4CAPITAL STRENGTH
a)Core capital
b) Minimum Statutory Capital
c)Excess (a-b)
d) Supplementary Capital
e) Total Capital (a+d)
f)Total risk weighted assets
g) Core Capital/Total deposits Liabilities
h) Minimum statutory Ratio
I) Excess
j) Core Capital / total risk weighted assets
k) Minimum Statutory Ratio
l) Excess (j-k)
m) Total Capital/total risk weighted assets
n) Minimum statutory Ratio
o) Excess (m-n)
5LIQUIDITY
a) Liquidity Ratio
b) Minimum Statutory Ratio
c) Excess (a-b)","34,986,471
700,000
3 4,286,471
1 ,517,136
3 6,503,607
1 90,337,233
15.7%
8%
7.7%
18.4%
8%
10.4%
19.2%
12%
7.2%
34.9%
20.0%
14.9%","42,125,397
1,000,000
4 1,125,397
2 ,799,884
4 4,925,281
1 97,733,995
18.8%
8%
10.8%
21.3%
8%
13.3%
22.7%
12%
10.7%
35.9%
20.0%
15.9%","43,112,606
1,000,000
4 2,112,606
2 ,799,884
4 5,912,490
1 96,100,079
19.2%
8%
11.2%
22.0%
8%
14.0%
23.4%
12%
11.4%
37.1%
20.0%
17.1%","39,455,356
1,000,000
3 8,455,356
1 0,832,401
5 0,287,757
2 38,940,498
17.9%
10.5%
7.4%
16.5%
10.5%
6.0%
21.0%
14.5%
6.5%
33.7%
20.0%
13.7%",,,,
"INTERIM DIVIDEND
The Directors do not recommend payment of interim dividend.
MESSAGE FROM THE DIRECTORS
These financial statements are extracts from the books of the institution. The complete set of quarterly financial statements,
statutory and qualitative disclosures can be accessed on the institutions website www.kcbbankgroup.com
They may also be accessed at the institutions head office located at Kencom House, Moi avenue
Ngeny Biwott- Chairman Joshua Oigara- Chief Executive Officer",,,,,,,,
