Column,At 31 December 2022,Column,Column,At 31 December 2021,Column,Column
KShs ‘Million’,"Currency
Carrying
Amount
KShs million","10%
Depreciation","10%
Appreciation","Currency
Carrying
Amount","10%
Depreciation","10%
Appreciation"
,"258,123","(25,812)","25,812",,,
,737,(74),74,,,
,"5,940",(594),594,,,
,"2,947",(295),295,,,
,,"(26,775)","26,775",,,
,"257,801","25,780","(25,780)",,,
,727,73,(73),,,
,"5,486",549,(549),,,
,"13,565","1,356","(1,356)",,,
,,"27,758","(27,758)",,,
,,983,(983),,,
,,295,(295),,,
,,688,(688),,,
,,1.68%,(1.68%),,,
