31 December 2022:,"USD
KShs million","GBP
KShs million","EURO
KShs million","OTHER
KShs million","Total
KShs million"
,"41,910",495,"2,690","2,083","47,178"
,"185,175",53,"1,465",664,"187,357"
,"7,254",182,"1,437",186,"9,059"
,"23,785",7,348,14,"24,154"
,"258,124",737,"5,940","2,947","267,748"
,"8,474",6,52,"1,060","9,592"
,"180,329",699,"5,236","10,336","196,600"
,"63,610",-,-,-,"63,610"
,"5,388",22,199,"2,169","7,778"
,"257,801",727,"5,487","13,565","277,580"
