"2013
Kshs.‘000","2012
Kshs.‘000"
"6,355,000
134,000
727,000
636,000
(657,000)
(723,000)
-","6,964,000
117,000
906,000
(1,300,000)
297,000
(629,000)
-
6,355,000
6,872,000
891,000
78,000
192,000
(629,000)
7,404,000
6,355,000
(7,404,000)
(1,049,000)"
"6,472,000",
"7,404,000
849,000
73,000
706,000
(723,000)",
"8,309,000",
"6,472,000
(8,309,000)",
"(1,837,000)",
