"KENYA COMMERCIAL BANK GROUP
UN AUDITED QUARTERLY FINANCIAL STATEMENTS AND OTHER DISCLOSURES FOR THE PERIOD ENDED 30TH JUNE 2015",Column,Column,Column,Column,Column,Column,Column,Column
,BANK,,,,GROUP,,,
"I STATEMENT OF FINANCIAL POSITION
AASSETS
1Cash ( both Local & Foreign)
2Balances due from Central Bank of Kenya
3Kenya Government and other securities held for dealing purposes
4Financial Assets at fair value through profit and loss
5Investment securities: a) Held to Maturity: a. Kenya Government securities
b. Other securities
b) Available for sale: a. Kenya Government securities
b. Other securities
6Deposits and balances due from local banking institutions
7Deposits and balances due from banking institutions abroad
8Tax recoverable
9Loans and advances to customers (net)
10Balances due from group companies
11Investments in associates
12Investments in subsidiary companies
13Investments in joint ventures
14Investment properties
15Property and equipment
16Prepaid lease rentals
17Intangible assets
18Deferred tax asset
19Retirement benefit asset
20Other assets
21TOTAL ASSETS
BLIABILITIES
22Balances due to Central Bank of Kenya
23Customer deposits
24Deposits and balances due to local banking institutions
25Deposits and balances due to foreign banking institutions
26Other money market deposits
27Borrowed funds
28Balances due to group companies
29Tax payable
30Dividends payable
31Deferred tax liability
32Retirement benefit liability
33Other liabilities
34TOTAL LIABILITIES
CSHAREHOLDERS' FUNDS
35Paid up /Assigned capital
36Share premium/(discount)
37Revaluation reserves
38Retained earnings/ Accumulated losses
39Statutory loan loss reserve
40Other Reserves/Remeasurement of defined asset/liability
41Proposed dividends
42Capital grants
43TOTAL SHAREHOLDERS' FUNDS
44Minority Interest
45TOTAL LIABILITIES AND SHAREHOLDERS' FUNDS","30-Jun-14
Kshs 000
Un-Audited","31-Dec-14
Kshs 000
Audited","31-Mar-15
Kshs 000
Un-Audited","30-Jun-15
Kshs 000
Un-Audited","30-Jun-14
Kshs 000
Un-Audited","31-Dec-14
Kshs 000
Audited","31-Mar-15
Kshs 000
Un-Audited","30-Jun-15
Kshs 000
Un-Audited"
,"6 ,138,382
1 1,259,020
1 5,580
-
3 5,386,093
-
4 1,925,495
2 ,007,988
1 2,027,608
6 ,811,035
1 27,990
2 13,663,852
3 69,257
1 25
1 0,467,258
-
-
5 ,245,801
1 38,249
1 ,172,800
2 ,027,503
1 ,837,000
7 ,211,816","8,410,517
13,789,090
1,115,943
-
36,601,868
-
34,147,777
8 65,258
-
2,577,662
137,516
248,823,710
-
125
11,316,817
-
-
5,299,673
137,000
1,234,309
2,174,706
1,835,000
8,502,430","7,284,182
14,691,594
2,461,971
-
37,026,571
-
32,406,077
885,541
-
3,266,344
-
262,311,085
1,448,803
125
12,709,067
-
-
5,563,901
136,376
1,152,838
2,174,706
1,835,000
6,757,995","6,787,648
11,675,082
3,681,893
-
44,009,634
-
37,138,178
876,295
2,927,875
4,530,462
34,249
283,200,200
1,725,577
125
12,709,067
-
-
5,845,470
135,752
1,396,264
2,174,706
1,835,000
7,690,452","14,227,426
1 1,259,020
1 5,580
-
3 5,386,093
16,002,335
4 1,925,495
2,007,988
12,027,608
39,759,061
198,428
2 44,014,013
-
-
-
-
-
8 ,314,912
2 93,009
1 ,280,667
2 ,447,907
1 ,837,000
8 ,704,453","3 3,275,231
1 3,789,090
1,115,943
-
3 6,601,868
2 4,467,128
3 4,147,777
8 65,258
7 45,314
3 6,827,145
1 83,283
2 83,732,205
-
-
-
-
-
8 ,838,074
1 39,110
1 ,374,215
2 ,560,636
1 ,835,000
9 ,841,047","17,024,024
14,691,594
2,461,971
-
37,026,571
25,368,129
32,406,077
885,541
-
60,451,463
-
297,031,494
-
-
-
-
-
8,922,027
268,702
1,287,196
2,565,608
1,835,000
8,039,376","16,208,624
11,675,082
3,681,893
-
44,009,634
27,765,245
37,138,178
876,295
2,927,875
77,057,187
34,266
320,600,852
-
-
-
-
-
9,244,899
265,298
1,529,044
2,554,549
1,835,000
9,205,856"
,"3 57,832,852","376,969,401","392,112,176","428,373,929","4 39,700,995","4 90,338,324","510,264,773","566,609,777"
,"-
2 76,460,447
6 98,506
1 ,415,956
-
1 2,502,909
-
-
-
-
-
4 ,025,685","-
276,749,766
-
8,733,510
-
11,610,293
1,660,076
-
-
-
-
6,048,417","-
289,076,281
127,523
6,749,683
-
11,595,487
-
1,558,702
-
-
-
7,174,940","-
317,058,707
7,100,000
3,085,453
-
20,914,425
-
-
-
-
-
6,781,013","-
3 51,602,752
6 98,506
2 ,940,309
-
1 3,116,753
-
472,560
-
-
-
6 ,015,581","-
3 77,271,886
-
1 4,295,619
-
1 2,734,848
-
1 31,928
-
3 07
-
1 0,272,239","-
397,102,268
127,523
9,320,810
-
12,724,434
-
1,532,309
-
-
-
10,049,311","-
443,036,231
7,100,000
5,173,359
-
22,474,447
-
1 ,389
-
46,175
-
10,680,877"
,"2 95,103,503","304,802,062","316,282,616","354,939,598","3 74,846,461","4 14,706,827","430,856,655","488,512,478"
,"2 ,984,228
1 9,330,200
( 485,604)
3 5,250,279
4 ,185,847
1 ,464,400
-
-","3,025,213
20,135,561
( 92,718)
37,756,878
4,005,379
1,286,600
6,050,426
-","3,025,213
20,135,561
(295,770)
42,042,952
3,584,578
1,286,600
6,050,426
-","3,025,213
20,135,561
(930,855)
44,883,308
5,034,505
1,286,600
-
-","2 ,984,228
1 9,330,200
( 320,149)
3 6,058,889
5 ,336,966
1 ,464,400
-
-","3 ,025,213
2 0,135,561
( 92,718)
3 9,961,479
5 ,264,936
1 ,286,600
6,050,426
-","3,025,213
20,135,561
(295,770)
44,361,953
4,844,135
1,286,600
6,050,426
-","3,025,213
20,135,561
(930,855)
48,286,718
6,294,062
1,286,600
-
-"
,"6 2,729,349","72,167,339","75,829,560","73,434,331","6 4,854,534","7 5,631,497","79,408,118","78,097,299"
,-,-,-,-,-,-,-,-
,"3 57,832,852","376,969,401","392,112,176","428,373,929","4 39,700,995","4 90,338,324","510,264,773","566,609,777"
