"2012
Kshs.‘000","2011
Kshs.‘000"
"(316,000)
1,365,000","(266,000)
174,000"
"1,049,000","(92,000)"
"1,191,000
(357,300)","174,000
(52,200)"
"833,700","121,800"
Kshs.‘000,
"121,800
833,700",
"955,500",
