KCB BANK KENYA,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC,Column,Column
,,,,COMPANY,,GROUP
31-Mar-20,"31-Dec-19 31-Mar-19
Kshs 000 Kshs 000
Audited Un-audited
8,412,261 6,218,297
33,809,960 28,808,413
- -
- -
53,102,746 40,679,833
- -
63,639,829 73,333,775
1,613,175 3,949,128
10,276,990 6,078,270
4,108,445 5,058,303
458,286 -
447,154,955 424,828,537
4,818,740 3,251,795
- -
- -
- -
- -
10,104,529 6,144,796
124,516 127,013
4,918,474 3,721,204
8,684,284 8,746,909
- 658,000
23,074,530 22,941,808",31-Mar-20,"31-Dec-19 31-Mar-19
Kshs 000 Kshs 000
Audited Un-audited
1,333,800 1,128,849
11,346,712 3,619,594
- -
- -
- -
37,116,751 18,410,400
- -
- 20,607,680
- -
1,050,939 1,341,684
1,606,864 302,595
237,713 458,370
45,871,701 45,925,331
- -
515,910 426,420
19,963 19,963
- -
- -
4,547,631 4,531,514
- -
1,041,333 1,321,193
3,103,595 2,190,256
- -
4,235,835 4,781,418",31-Mar-20,"31-Dec-19 31-Mar-19
Kshs 000 Kshs 000
Audited Un-audited
- -
- -
- -
- -
- -
- -
- -
25,356 33,626
1,177,914 893,966
- -
27,352 68,639
- -
6,335,793 6,390,520
- -
79,227,397 68,036,625
- -
- -
606,651 654,948
- -
9,623 -
1,221 126,332
- -
38,354 7,224",31-Mar-20
Kshs 000,,Kshs 000,,Kshs 000,,Kshs 000
Un-audited,,Un-audited,,Un-audited,,Un-audited
"7,012,397",,"1,736,165",,-,,"15,564,160"
"36,538,551",,"3,800,171",,-,,"40,338,722"
"1,018,114",,-,,-,,"1,018,114"
-,,-,,-,,-
,,-,,,,
"53,226,189",,"37,231,962",,-,,"90,458,151"
-,,-,,-,,"8,051,064"
"89,878,296",,"7,417,750",,-,,"97,325,778"
"1,698,705",,-,,"25,240",,"6,807,967"
"6,077,642",,"1,051,419",,"1,432,715",,"7,129,061"
"15,603,672",,"395,444",,-,,"42,943,498"
-,,"231,360",,"27,834",,-
"463,085,623",,"47,879,059",,-,,"553,861,270"
"3,892,669",,-,,"5,997,303",,-
-,,"480,881",,-,,-
-,,"19,963",,"79,227,397",,-
-,,-,,-,,-
-,,-,,-,,-
"10,359,302",,"4,432,535",,"611,821",,"20,683,599"
"123,894",,-,,-,,"125,899"
"4,992,174",,"975,331",,"9,117",,"6,301,879"
"9,216,872",,"3,024,490",,69,,"13,051,236"
-,,-,,-,,-
"26,189,737",,"5,120,226",,"326,992",,"43,407,837"
"728,913,837","674,301,720 634,546,081","113,796,756","112,028,747 105,065,267","87,658,488","87,449,661 76,211,880","947,068,235"
,"- -
528,114,597 491,016,763
7,522,635 500,000
1,192,971 404,185
- -
18,463,923 18,734,182
- -
- 2,955,282
8,097,915 -
- -
- -
18,302,045 18,333,118",,"- -
87,091,263 89,520,567
5,983,472 3,282,329
4,003,782 2,228,356
- -
- -
- -
- -
5,819 24,315
- -
- -
3,239,991 2,861,270",,"- -
- -
- -
- -
- -
- -
- 111,102
- -
- -
- -
- -
4,368 70,757",
-,,-,,-,,-
"580,142,217",,"92,000,375",,-,,"740,444,394"
"1,606,534",,"3,581,037",,-,,"5,187,571"
"1,541,324",,"3,289,035",,-,,"8,092,433"
-,,-,,-,,-
"19,222,105",,-,,-,,"21,969,872"
-,,-,,-,,-
"2,007,973",,-,,-,,"2,108,655"
"8,097,915",,"5,811",,-,,-
-,,-,,-,,-
-,,-,,-,,-
"18,123,042",,"3,061,076",,"197,393",,"33,719,230"
"630,741,110","581,694,086 531,943,530","101,937,334","100,324,327 97,916,837","197,393","4,368 181,859","811,522,155"
