At 31 December 2024,Column,Column,At 31 December 2023,Column,Column
"Currency
Carrying Amount","10%
Depreciation","10%
Appreciation","Currency
Carrying Amount","10%
Depreciation","10%
Appreciation"
"605,782","(60,578)","60,578",,,
885,(89),89,,,
"14,072","(1,407)","1,407",,,
"2,525",(253),253,,,
,"(62,327)","62,327",,,
"618,329","61,833","(61,833)",,,
"1,061",106,(106),,,
"11,728","1,173","(1,173)",,,
"1,578",158,(158),,,
,"63,270","(63,270)",,,
,944,(944),,,
,283,(283),,,
,660,(660),,,
,1.07%,(1.07%),,,
