"2008
KShs’000"
"10,446,240
7,073
(2,070,918)"
"(2,063,845)
66,121
(1,106,567)
(2,017,645)"
-
"(3,058,091)
5,200,000
(67,695)"
"(1,397,200)"
"3,735,105
9,059,409
291,376"
"18,812,905"
"28,163,690"
