KShs Millions,KCB BANK KENYA,Column,Column,KCB GROUP,Column,Column
,"Actual
1Q-16","Actual
1Q-17","Y-O-Y
Change","Actual
1Q-16","Actual
1Q-17","Y-O-Y
Change"
Cash,"7,548","6,182",(18%),"11,691","9,247",(21%)
Balances with Central Bank,"29,414","22,621",(23%),"29,414","22,621",(23%)
Balances with other institutions,"1,042","6,155",491%,"36,081","38,859",8%
"Investments in Government & Other
securities","89,633","93,241",4%,"105,571","105,974",0%
Net loans and advances,"313,054","362,922",16%,"345,943","395,491",14%
Fixed assets,"8,286","9,140",10%,"10,756","12,645",18%
Other assets,"18,063","20,274",12%,"17,345","20,918",21%
Total Assets,"467,040","520,536",11%,"556,801","605,755",9%
Customer Deposits,"356,568","397,873",12%,"423,433","456,815",8%
Balances due to other banks,"11,278","4,825",-57%,"16,288","8,359",(49%)
Other liabilities,"16,841","21,456",27%,"13,516","15,769",17%
Long-term debt,"17,116","19,883",16%,"19,604","23,596",20%
Total Liabilities,"401,803","444,037",11%,"472,841","504,539",7%
Shareholders’ Equity,"65,238","76,499",17%,"83,960","101,216",21%
Total Liabilities and Equity,"467,040","520,536",11%,"556,801","605,755",9%
