"Date of change
(Month)",Legislation,Change,Impact to KCB
September 2022,"Anti - Money Laundering
Amendment Act 2022.","• The Amendment introduced administrative sanctions
for non-compliance with AML laws and Regulations.
• The Amendment creates sanctions for failure
to comply with the Directive of the FIA by any
accountable person who without reasonable excuse,
fails to comply in whole or in part with any obligations
under the Act. The FIA may impose administrative
sanction including reprimand, warning or a fine
not exceeding thirty-seven thousand five hundred
currency points.","Compliance
requirement to avoid
penalties."
September 2022,"The Companies
(Amendment) Act, 2022","• Articles and Memorandum of association are to be
required to be left with the Registrar of Companies
after incorporation.
• The Act creates sanctions for any person who
misrepresents the shareholding of the company. The
Act also mandates the company to have a register
of Beneficial Owners at the registered company’s
registered office.
• The Act also empowers the Registrar of Companies to
enforce the provisions of the Anti-Money Laundering
Act, 2013 as an accountable person. This may
require an advanced verification of loan documents
submitted to the Registrar","Compliance
requirement to avoid
penalties. Although this
has been the practice, it
has now been codified.
This will in turn require
that customers for
credit facilities may
be required to avail
certified copies of their
Memorandum and
Articles of Association"
September 2022,"The Anti-Terrorism
(Amendment) Act, 2022","The amendment introduces an offence termed as
Proliferation financing which is committed where a
person or organization makes available an asset,
provides a financial service or conducts a financial
transaction to facilitate activities mentioned in the
Amendment","The Amendment
imposes direct liability
any officer, director
or agent of a financial
institution. Financial
institutions must
alert the Financial
Institutions Authority
of such transactions
if conducted and not
make available funds to
persons or organizations
whose purpose is
Proliferation financing."
October 2022,"The Computer Misuse
(Amendment) Act, 2022","The amendment was passed to amend the Computer
Misuse Act, of 2011 to enhance the provisions on
unauthorized access to information or data, to prohibit
unlawful sharing of any information relating to a child,
to prohibit hate speech, the sending or sharing of
malicious or unsolicited information; to regulate the use
of social media and related matters.","• Creates an offence
to access or intercept
any program or
another person’s
data or information,
voice or video record
another person or
share any information
that relates to another
person without
authorization."
