STRATEGIC ISSUE,STRATEGIC OBJECTIVES,MILESTONES
,"• Improve customer satisfaction to 85%
• Reduce Turn Around Time (TAT) by 50%
• Increase staff satisfaction to 85%
• Grow brand affinity",
,"• Increase mobile banking customers
from 1M to 2M.
• Grow the agency network to 100,000
• Increase number of customers to 10M
• Increasing contribution of SME and
Micro to 20% of the loan book in two
years.
• Race to a million homes through an
affordable mortgage proposition",
,"• Commence a Youth engagement
programme (Bankika Revamp)
• Renew the Learning Institutions
Programme",
