2013,"2012
Restated","2011
Restated"
Kshs.‘000,Kshs.‘000,Kshs.‘000
"33,940,577
10,402,010
6,241,984
39,220,350
789,203
9,949,880
227,721,781
47,533,782
740,020
8,484,836
1,403,180
141,642
1,837,000
2,445,334","36,419,912
10,421,565
2,923,263
15,916,877
1,107,088
5,918,015
211,664,226
70,451,164
10,598
8,895,573
1,173,945
146,941
1,049,000
1,920,618","42,708,016
25,812,084
367,938
9,204,501
1,434,999
5,273,392
198,724,919
36,432,197
20,557
8,017,595
1,516,684
147,801
-
1,003,276
330,663,959
14,105,149
259,308,849
731,796
3,294,966
119,372
92,000
8,525,000
286,177,132
2,968,746
41,518,081
44,486,827
330,663,959"
"390,851,579","368,018,785",
"6,650,977
305,659,189
1,533,857
5,753,565
179,377
-
7,719,647","9,333,589
288,037,367
888,337
4,728,035
1,813,086
-
8,923,312",
"327,496,612","313,723,726",
"2,984,228
60,370,739","2,970,340
51,324,719",
"63,354,967","54,295,059",
"390,851,579","368,018,785",
