"New standard or
amendments","Effective for annual periods
beginning on or after"
• Amendments to IAS 19 – Defined Benefit Plan,1 July 2014
• IFRS 9 Financial Instruments (2010),1 January 2018
• IFRS 15 Revenue from Contracts with Customers,1 January 2017
• IFRS 14 Regulatory Deferral Accounts,1 January 2016
"• Amendments to IFRS 11-Accounting for acquisitions of interests in Joint
Operations",1 January 2016
"• Amendments to IAS 16 and IAS 38-Clarification of Acceptable Methods of
Depreciation and Amortization.",1 January 2016
