"At 31 December 2022:
Cost","Computer
software
KShs million","Brand
KShs million","Customer
relationships
KShs million","Customer
deposits
KShs million","Goodwill
KShs million","Total
KShs million"
,"21,214",339,211,"1,631",-,"23,395"
,"1,309",-,-,-,-,"1,309"
,(8),-,-,-,-,(8)
,"2,752",983,"1,939","6,489","3,070","15,233"
,"1,065",-,-,-,-,"1,065"
,61,-,-,-,-,61
,"26,393","1,322","2,150","8,120","3,070","41,055"
,,,,,,-
,"16,383",-,-,-,-,"16,383"
,779,-,-,-,-,779
,(8),-,-,-,-,(8)
,"1,973",101,63,488,-,"2,625"
,61,-,-,-,-,61
,"19,188",101,63,488,-,"19,840"
,"7,205","1,221","2,087","7,633","3,070","21,215"
