"2015
KShs 000",Column,"2015
KShs 000"
,"6,952,974
24,579
( 82,943)
43,957",
"7,701,260",,"7,386,407"
-,,-
"( 786,758)",,"( 441,198)"
-,,-
,"6,938,567",
"6,914,502",,"6,945,209"
"26,537,573","23,787,429","23,444,616"
"7,961,272","6,907,543
68,536
238,296
( 275,808)","7,033,385"
-,,-
"327,657",,"289,845"
"(1,374,427)",,"( 378,021)"
"6,914,502","6,938,567","6,945,209"
,"560,643
6,468,265
(6,977,553)",
"51,355",,"137,516"
"7,497,131",,"7,000,896"
"(7,701,260)",,"(7,386,407)"
,"51,355",
"(152,774)",,"(247,995)"
,"183,283
( 131,928)",
"161,406",,"( 247,995)"
"(314,180)",,-
"(152,774)","51,355","(247,995)"
