"3,213,462,815"
"4,500,000,000"
"193,274"
Nairobi Securities Exchange
KCB
1988
"Dar-es-Salaam Stock Exchange
Uganda Securities Exchange
Rwanda Stock Exchange"
72%
KShs. 45.45
19.3%
KShs. 146.1 billion
0.8x
KShs. 10.61
KShs. 3.00
Up to 50% of distributable profits
KShs. 171.7 billion
