Note,"2021
KShs milion","2021
KShs milion"
21,517,"1,147"
25,4,33
33,"87,964","79,662"
39,"1,800",213
29,614,616
32,5,7
19,93,25
,"90,997","81,703"
37,606,52
34,7,10
39,-,"3,553"
,613,"3,615"
41,"3,213","3,213"
,"27,690","27,690"
,"59,481","47,184"
,"90,384","78,087"
,"90,997","81,703"
