"Date of change
(Month)",Legislation,Change,Impact to KCB
January 2022,"POCAML (Amendment)
Act 2021","The Financial Reporting Centre permitted to intervene
and stop a suspicious transaction up to 5 working days
in transactions in financial institutions.","Increased monitoring by
FRC."
January 2022,"NHIF (Amendment)
Act, 2022","Employers to be liable as a contributor to the fund in
respect of its employees","The Act compels
employers to match the
NHIF contributions of
their employees and not
deduct cash from their
salaries.
NB: the Employment
and Labour Relations
Court in November
2022 gave a temporary
reprieve to employers
after it blocked
enforcement of this
section."
March 2022,"Tax Appeals Tribunal
(Amendment) Act, 2022","Right of appeal from the decisions of the High Court to
the Court of Appeal and the Supreme Court.
appointment of the Tax Appeals Tribunal by the
Judicial Service Commission as opposed to the Cabinet
Secretary, National Treasury and Planning.
Appointment of full-time service of members of the
Tribunal","The Bank’s tax
disputes will now be
expeditiously disposed
of at the Tribunal"
April 2022,"Copyright (Amendment)
Act, 2022","• Introduction of revenue sharing formula that from the
sale of ring back tunes as follows:
• Premium rate service provider at 8.5%
• Telecommunication operator at 39.5%
• Artiste or owner of the copyright should get not less
than 52%.
• Establishment of the National Rights Registry which
shall be responsible for:
• digital registration of copyrights works.
• authentication and authorization of consumers of
copyrights works.
• tracking, monitoring and dissemination of data or
logs related to access of registered copyright works.","Implement guidelines
on the sharing formula
where the services of
an artist are enlisted for
purposes of promotion
and marketing of its
products and services.
Ensure that artists
engaged for purposes
of promotion and
marketing of products
and services have a
certificate from the
National Rights Registry."
April 2022,"Employment
(Amendment) Act, 2022","• Employees to avail their clearance certificates upon
receipt of an offer for employment.
• Issuance of clearance certificates free of charge.","Implement guidelines
on the requirement for
clearance certificates."
April 2022,"Kenya Deposit
Insurance Corporation
(Amendment) Act 2022","• The maximum amount a depositor with an institution
under liquidation is to be paid by the KDIC increased
from Kes. 100,000 to Kes. 500,000
• Payment to be made to a depositor within six months
or any shorter period following the conclusion of
liquidation of the institution insured","Increased cost to KDIC
to cover depositor
liquidation payments."
July 2022,"Finance Act, 2022:
Income Tax Act","Increase of the capital gains tax payable in Kenya from
5% to 15% effective 1 January 2023.","The bank to provide for
the increased margin
in its sale of any capital
assets."
