KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"30-Jun-23
Kshs 000
Un-audited","31-Mar-23 31-Dec-22 30-Jun-22
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
7,012,428 10,332,230 6,737,958
28,587,984 32,017,676 31,537,378
- - 2,146,352
- - -
126,338,375 126,184,144 111,436,114
- - -
77,326,775 77,640,039 88,107,155
2,126,118 2,065,406 2,064,375
2,252,893 1,700,652 2,181,428
7,198,603 23,430,225 13,547,574
- 2,306,005 194,730
654,659,988 613,892,181 563,188,212
7,624,757 10,228,308 5,412,330
446,875 446,875 400,253
- - -
- - -
12,600,607 12,600,607 10,227,387
10,937,588 9,812,222 9,705,182
116,403 117,027 118,275
3,129,802 3,439,459 3,965,277
21,093,450 20,130,483 19,882,401
- - -
34,091,236 25,009,222 16,987,987","30-Jun-23
Kshs 000
Un-audited","31-Mar-23 31-Dec-22 30-Jun-22
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
1,355,093 1,432,365 1,025,598
5,890,587 3,806,747 3,854,871
- - -
- - -
- - -
24,382,348 24,564,568 25,983,415
303,831 295,081 294,984
22,827,274 23,831,380 19,563,681
- - -
1,650,663 1,722,415 4,053,430
4,937,748 856,588 975,532
- 35,633 -
74,668,415 71,188,674 68,958,047
28,406 20,504 -
727,492 630,147 570,008
24,963 24,963 24,963
- - -
- - -
2,023,957 2,107,445 3,977,222
- - -
431,274 413,519 485,284
4,595,976 4,423,855 3,841,789
- - -
7,725,036 7,415,390 5,397,800","30-Jun-23
Kshs 000
Un-audited","31-Mar-23 31-Dec-22 30-Jun-22
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
622,880 711,662 -
- - -
90,291 90,291 102,106
- - -
1,312,658 - 1,404,799
- - -
114,270,238 114,270,238 89,158,501
- - -
- - -
824,217 828,090 819,446
- - -
3,039 3,545 4,558
109,865 109,865 81,690
- - -
88,257 61,405 43,507","30-Jun-23
Kshs 000
Un-audited"
"8,559,788",,"1,292,440",,-,,"32,326,927"
"28,367,249",,"3,678,269",,-,,"32,045,518"
-,,-,,-,,-
-,,-,,-,,-
,,-,,,,
"141,109,708",,"23,995,864",,-,,"165,564,114"
-,,"294,984",,-,,"26,947,270"
"129,622,651",,"24,341,103",,-,,"154,732,158"
"1,961,923",,-,,-,,"15,179,284"
"10,628,742",,"3,802,703",,"622,880",,"14,431,445"
"111,734,297",,"1,229,957",,"243,149",,"318,315,211"
"224,335",,"269,959",,"91,699",,-
"667,988,740",,"77,207,413",,-,,"964,808,684"
"8,887,593",,"30,491",,"1,970,336",,-
"512,639",,"811,184",,-,,"1,323,823"
-,,"5,000",,"114,270,238",,-
-,,-,,-,,-
"12,600,607",,-,,-,,"12,600,607"
