STRATEGIC ISSUE,STRATEGIC OBJECTIVES,MILESTONES
,"• Card payments – acquiring, issuing,
online, contactless
• Cashless transport
• Cashless Government
• Money Remittance",
,"• Increase investment in existing
business
• KCB Insurance
• KCB Capital
• Islamic Banking",
,"• Improve T24 reliability to 99.5%
• Increase Mean Time Between Failures
(MTBF) to 180 days
• Introduce Cloud Computing capability
• Achieve a Cost Efficiency of 48%",
,"• Tele-Communication
• Energy
• Transport
• Governments",
