Note,"2021
KShs million","2020
KShs million"
11,"15,688",170
8,157,31
10,52,38
9,32,-
11,"1,154",507
,"17,083",746
14,"(1,044)",(653)
15,(16),(14)
16,(494),"(1,432)"
17,"15,529","(1,353)"
19,(19),(18)
,"15,510","(1,371)"
,"15,510","(1,371)"
,4.83,(0.43)
,4.83,(0.43)
