31 Dec 16,31 Dec 17,31 Dec 18,31 Dec 19,31 Dec 20
KShs. Million,KShs. Million,KShs. Million,KShs. Million,KShs. Million
"62,806","63,673","66,280","79,644","92,951"
"(15,779)","(15,288)","(17,450)","(18,220)","(20,807)"
"47,027","48,385","48,830","61,424","72,144"
"22,449","23,000","22,973","22,877","23,852"
"69,476","71,385","71,803","84,301","95,996"
"(33,104)","(34,996)","(34,698)","(38,679)","(43,291)"
"(3,823)","(5,914)","(2,944)","(8,889)","(27,509)"
"(36,927)","(40,910)","(37,642)","(47,568)","(70,800)"
"32,549","30,475","34,161","36,733","25,196"
"(3,458)","(1,361)",(302),164,130
"29,091","29,114","33,859","36,897","25,719"
"(9,368)","(9,410)","(9,864)","(11,732)","6,115"
"19,723","19,704","23,995","25,165","19,604"
