KCB Bank Kenya,Column,National Bank of Kenya,Column,"KCB GROUP PLC
(Company)",Column,"KCB GROUP PLC
(Consolidated)"
31-Dec-20,"31-Dec-19
Kes 000
Audited
8,412,261
33,809,960
-
-
53,102,746
-
63,639,829
-
10,276,990
4,108,445
458,286
448,768,130
4,818,740
600,000
-
-
5,642,223
10,104,529
124,516
4,918,474
8,684,284
-
16,832,307",31-Dec-20,"31-Dec-19
Kes 000
Audited
1,333,800
11,346,712
-
-
37,116,751
-
-
-
1,050,939
1,606,864
237,713
45,871,701
-
515,910
19,963
-
-
4,547,631
-
1,041,333
3,103,595
-
4,235,835",31-Dec-20,"31-Dec-19
Kes 000
Audited
-
-
-
-
-
-
-
25,356
1,177,914
-
27,352
-
6,335,793
-
79,227,397
-
-
606,651
-
9,623
1,221
-
38,354",31-Dec-20
Kes 000,,Kes 000,,Kes 000,,Kes 000
Audited,,Audited,,Audited,,Audited
"7,597,722",,"1,100,330",,-,,"15,152,993"
"25,839,259",,"3,750,586",,-,,"29,589,845"
"2,019,227",,-,,-,,"2,019,227"
-,,-,,-,,-
"69,422,464",,"34,460,222",,-,,"103,882,686"
-,,-,,-,,"10,597,858"
"71,106,673",,"15,096,249",,-,,"86,202,922"
-,,-,,-,,"8,081,389"
"3,097,833",,"1,357,790",,"1,146,705",,"4,455,623"
"8,662,093",,"755,496",,-,,"39,117,240"
"247,078",,"304,692",,"24,920",,"425,728"
"492,537,561",,"55,539,275",,-,,"595,254,297"
"5,715,418",,-,,"212,778",,-
"600,000",,"630,353",,-,,"600,000"
-,,"24,963",,"79,661,797",,-
-,,-,,-,,-
"6,035,000",,-,,-,,"6,035,000"
"9,977,222",,"4,374,108",,"616,428",,"19,967,596"
"122,019",,-,,-,,"120,015"
"4,443,725",,"744,447",,"7,597",,"5,499,457"
"13,789,704",,"3,136,380",,-,,"17,647,182"
-,,-,,-,,-
"37,132,433",,"5,566,729",,"33,330",,"43,161,195"
"758,345,431","674,301,720","126,841,620","112,028,747","81,703,555","87,449,661","987,810,253"
,"-
528,114,597
7,522,635
1,192,971
-
18,463,923
-
-
8,097,915
-
-
18,302,045",,"-
87,091,263
5,983,472
4,003,782
-
-
-
-
5,819
-
-
3,239,991",,"-
-
-
-
-
-
-
-
-
-
-
4,368",
-,,-,,-,,-
"588,627,915",,"99,229,389",,-,,"767,224,467"
"1,776,411",,"6,460,632",,-,,"7,237,043"
"662,973",,"6,981,903",,-,,"12,431,235"
-,,-,,-,,-
"34,706,661",,-,,-,,"37,032,388"
-,,-,,"3,553,491",,-
-,,-,,-,,-
-,,"5,681",,-,,-
-,,-,,"10,152",,-
"177,000",,-,,-,,"177,000"
"21,123,927",,"2,228,471",,"52,364",,"21,283,837"
"647,074,887","581,694,086","114,906,076","100,324,327","3,616,007","4,368","845,385,970"
,"53,986,100
-
(858,082)
36,214,366
3,265,250
-
-
-",,"12,368,906
-
1,255,687
(5,455,648)
3,535,475
-
-
-",,"3,213,463
27,690,149
(51,387)
48,559,428
-
-
8,033,640
-",
"53,986,100",,"12,368,906",,"3,213,463",,"3,213,463"
-,,-,,"27,690,149",,"27,690,149"
"(8,658)",,"1,225,905",,-,,"951,129"
"48,232,365",,"(5,506,873)",,"43,970,473",,"112,819,978"
-,,"3,794,213",,-,,"2,154,895"
"(116,900)",,"53,393",,-,,"(7,618,794)"
"9,177,637",,-,,"3,213,463",,"3,213,463"
-,,-,,-,,-
"111,270,544","92,607,634","11,935,544","11,704,420","78,087,548","87,445,293","142,424,283"
-,-,-,-,-,-,-
"758,345,431","674,301,720","126,841,620","112,028,747","81,703,555","87,449,661","987,810,253"
,"50,614,710
12,010,200
1,124,242
-",,"4,606,559
4,386,171
35,648
-",,"-
-
-
-",
"52,176,373",,"4,641,097",,-,,"64,770,327"
"16,220,619",,"5,002,783",,-,,"23,177,656"
"510,169",,"86,617",,"31,329",,"797,469"
-,,-,,-,,-
"68,907,161","63,749,152","9,730,497","9,028,378","31,329",-,"88,745,452"
,"13,434,169
1,456,515
-",,"2,131,853
460,267
147,679",,"-
-
-",
"14,269,287",,"2,463,293",,-,,"18,855,318"
"1,167,011",,"150,287",,-,,"1,952,551"
-,,"98,475",,-,,-
"15,436,298","14,890,684","2,712,055","2,739,799",-,-,"20,807,869"
"53,470,863","48,858,468","7,018,442","6,288,579","31,329",-,"67,937,583"
,"8,804,676
8,017,461
3,137,498
-
3,579,632",,"147,545
1,185,731
551,980
33,800
136,635",,"-
-
(3,942)
16,551,183
414,586",
"7,881,136",,"97,005",,-,,"7,504,666"
"6,343,034",,"894,858",,-,,"10,274,334"
"3,416,282",,"486,807",,"37,601",,"5,389,620"
-,,"118,065",,"170,000",,-
"4,731,262",,"279,087",,"506,956",,"5,281,981"
"22,371,714","23,539,267","1,875,822","2,055,691","714,557","16,961,827","28,450,601"
"75,842,577","72,397,735","8,894,264","8,344,270","745,886","16,961,827","96,388,184"
,"8,719,671
15,543,206
424,332
132,753
1,944,821
1,432,055
11,016,949",,"1,984,542
4,026,922
41,449
127,190
704,351
408,226
1,872,835",,"-
277,395
86,716
-
8,610
506
560,077",
"23,398,651",,"1,387,426",,-,,"27,508,441"
"13,485,558",,"4,077,889",,"658,846",,"20,451,028"
"248,102",,"20,436",,"50,354",,"296,200"
"208,882",,"173,612",,-,,"389,603"
"2,201,665",,"669,051",,"12,184",,"3,609,291"
"1,790,693",,"398,030",,"2,026",,"2,309,813"
"10,922,584",,"1,855,227",,"1,376,565",,"16,104,928"
"52,256,135","39,213,787","8,581,671","9,165,515","2,099,975","933,304","70,669,304"
"23,586,442","33,183,948","312,593","(821,245)","(1,354,089)","16,028,523","25,718,880"
-,-,-,"(137,713)",-,-,-
"23,586,442","33,183,948","312,593","(958,958)","(1,354,089)","16,028,523","25,718,880"
"(10,063,654)","(11,589,773)
1,111,726","(185,444)","(235,339)
857,307","(7,499)","(41,286)
(100,948)","(10,903,436)"
"4,824,069",,"50,582",,"(11,372)",,"4,788,198"
"18,346,857","22,705,901","177,731","(336,990)","(1,372,960)","15,886,289","19,603,642"
-,-,-,,-,-,-
"18,346,857","22,705,901","177,731","(336,990)","(1,372,960)","15,886,289","19,603,642"
,"-
(3,612,287)
(719,000)
-
869,353",,"-
194,861
(8,881)
-
(55,794)",,"-
(12,653)
-
-
3,796",
-,,-,,-,,"(955,000)"
"618,503",,"71,191",,-,,"3,117,974"
"(167,000)",,-,,-,,"(167,000)"
-,,-,,-,,-
"(135,451)",,"(17,798)",,-,,"(885,292)"
"316,052","(3,461,934)","53,393","130,186",-,"(8,857)","1,110,682"
"18,662,909","19,243,967","231,124","(206,804)","(1,372,960)","15,877,432","20,714,324"
0.34,0.40,-,-,(0.43),5.12,6.10
0.17,0.30,-,-,1.00,3.50,1.00
