KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,"KCB GROUP PLC
(COMPANY)",Column,"KCB GROUP PLC
(CONSOLIDATED)"
31-Mar-22,"31-Dec-21 31-Mar-21
Kshs 000 Kshs 000
Audited Un-audited
9,372,477 7,615,802
27,674,664 27,913,129
2,583,083 405,097
- -
88,570,009 72,058,395
- -
94,334,482 68,656,825
2,065,054 -
4,046,727 2,459,041
4,317,828 5,373,275
- -
529,280,381 496,213,998
4,303,501 5,058,801
401,675 600,000
- -
- -
10,227,387 6,287,000
9,806,117 9,150,404
119,523 121,396
3,771,158 4,398,952
18,473,135 14,975,006
- -
17,047,723 23,174,407",31-Mar-22,"31-Dec-21 31-Mar-21
Kshs 000 Kshs 000
Audited Un-audited
1,250,983 1,249,469
7,722,963 4,133,434
- -
- -
- -
33,049,950 33,614,230
295,081 -
20,024,351 15,148,032
- -
1,852,529 1,367,120
496,359 1,234,389
- 306,432
67,045,738 57,668,263
- -
649,876 616,044
24,963 24,963
- -
- -
4,119,087 4,213,320
- -
612,378 665,434
3,317,439 3,052,139
- -
6,081,608 6,294,900",31-Mar-22,"31-Dec-21 31-Mar-21
Kshs 000 Kshs 000
Audited Un-audited
- -
- -
- -
- -
- -
- -
- -
- -
517,007 1,160,495
- -
93,053 -
- -
1,799,959 9,473,050
- -
87,963,501 79,661,797
- -
- -
614,434 614,904
- -
5,571 7,091
- 1,706
- -
3,703 14,550",31-Mar-22
Kshs 000,,Kshs 000,,Kshs 000,,Kshs 000
Un-audited,,Un-audited,,Un-audited,,Un-audited
"8,528,043",,"1,091,995",,-,,"18,647,891"
"22,427,593",,"3,378,494",,-,,"25,806,087"
"2,577,572",,-,,-,,"7,365,423"
-,,-,,-,,-
,,-,,,,
"99,784,029",,"33,126,102",,-,,"133,408,701"
-,,"303,831",,-,,"9,484,978"
"91,405,803",,"18,193,460",,-,,"110,237,643"
"2,126,118",,-,,-,,"21,311,556"
"2,645,218",,"1,352,457",,"3,449,910",,"3,997,675"
"7,404,906",,"946,746",,-,,"36,724,170"
-,,-,,"92,517",,-
"551,160,564",,"67,470,096",,-,,"704,366,078"
"4,834,579",,-,,"58,396",,-
"400,253",,"682,051",,-,,"400,254"
-,,"24,963",,"87,963,501",,-
-,,-,,-,,-
"10,227,387",,-,,-,,"10,666,255"
"9,815,944",,"3,967,622",,"822,035",,"21,705,496"
"118,899",,-,,-,,"124,215"
"4,160,335",,"555,525",,"5,065",,"7,366,736"
"19,237,528",,"3,384,397",,"44,703",,"22,982,095"
-,,-,,-,,-
"21,625,181",,"6,021,806",,"60,764",,"32,313,157"
"858,479,952","826,394,924 744,461,528","140,499,545","146,543,305 129,588,169","92,496,891","90,997,228 90,933,593","1,166,908,410"
,"- -
624,480,440 569,271,015
3,717,079 3,818,386
6,060,540 843,468
- -
33,621,640 33,930,412
- -
5,287,663 3,416,320
5,938,471 9,177,637
- -
458,000 177,000
23,007,626 16,977,287",,"3,496,740 -
106,103,099 99,090,859
10,554,365 8,137,398
7,455,621 7,941,366
- -
- -
- -
215,227 -
274 5,681
- -
- -
2,353,257 2,227,454",,"- -
- -
- -
- -
- -
- -
- 3,810,669
- 32,532
- -
7,007 -
- -
605,261 42,952",
"7,994,240",,"6,995,020",,-,,"14,989,260"
"631,128,521",,"98,656,380",,-,,"845,817,474"
"9,474,922",,"9,905,645",,-,,"19,211,284"
"8,826,476",,"5,462,230",,-,,"26,081,695"
-,,-,,-,,-
"33,314,599",,-,,-,,"37,843,109"
-,,-,,-,,-
"9,094,891",,"284,351",,-,,"9,415,579"
"4,858,749",,274,,-,,-
-,,-,,-,,"655,000"
"458,000",,-,,-,,"458,000"
"27,534,923",,"2,812,303",,"617,866",,"28,713,957"
"732,685,321","702,571,459 637,611,525","124,116,203","130,178,583 117,402,758","617,866","612,268 3,886,153","983,185,358"
,"53,986,100 53,986,100
- -
- -
60,677,534 53,771,579
5,346,700 -
(1,045,618) (907,676)
4,858,749 -
- -",,"12,683,038 12,368,906
3,141,319 -
1,200,558 1,225,905
(5,190,271) (5,602,693)
4,520,549 4,074,991
9,529 118,302
- -
- -",,"3,213,463 3,213,463
27,690,149 27,690,149
- -
49,840,959 52,930,365
- -
- -
9,640,389 3,213,463
- -",
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463"
-,,"3,141,319",,"27,690,149",,"27,690,149"
-,,"1,200,558",,-,,"1,200,558"
"69,859,150",,"(5,121,889)",,"54,548,487",,"146,104,167"
"4,435,113",,"4,789,033",,-,,"7,372,172"
"(2,485,732)",,"(308,717)",,-,,"(10,174,046)"
-,,-,,"6,426,926",,"6,426,926"
-,,-,,-,,-
"125,794,631","123,823,465 106,850,003","16,383,342","16,364,722 12,185,411","91,879,025","90,384,960 87,047,440","181,833,389"
-,- -,-,- -,-,- -,"1,889,663"
"858,479,952","826,394,924 744,461,528","140,499,545","146,543,305 129,588,169","92,496,891","90,997,228 90,933,593","1,166,908,410"
