FY18,FY19,FY20,FY21,"FY21
5,650
(2,582)
3,068
6,030
(203)
237"
"46,136
(16,820)","51,831
(22,074)","75,879
(37,090)","99,896
(45,655)",
"29,316","29,757","38,789","54,241",
"85,215
227
(875)","90,072
56
0","90,360
(1,085)
4,274","106,613
(3,597)
4,183",
"113,882","119,886","132,338","161,440","9,131"
"3,985
(46,505)
(18,649)
(3,934)
(6,451)","3,236
(49,642)
(21,332)
(6,298)
(8,116)","1,342
(65,106)
(26,893)
(5,378)
(9,039)","2,269
(87,110)
(38,685)
(6,145)
(8,954)",128
,,,,"(4,927)
(2,188)
(348)
(506)"
"42,328","37,733","27,265","22,815","1,290"
"(19,094)","(19,852)","(10,648)","(10,362)",(586)
"23,234","17,882","16,616","12,453",704
408,"1,606",582,"3,834",217
"23,642","19,487","17,198","16,288",921
"(4,850)","(5,514)","(3,787)","(3,271)",(185)
"18,793","13,973","13,412","13,017",736
