"2015
KShs’000",Column,"2015
KShs’000"
"223,035","223,035
-","219,575"
-,,-
,"223,035",
"223,035",,"219,575"
,"81,393
2,532",
"83,925",,"82,575"
"2,532",,"2,497"
,"83,925",
"86,457",,"85,072"
"136,578","139,110","134,503"
