Note,"2021
KShs milion","2020
KShs million"
21,"71,612","64,608"
22,"26,642","23,706"
23,"139,704","94,284"
28,"5,462","5,143"
24,402,600
25,"27,329","43,162"
19,-,426
26,"675,481","595,255"
27,"131,127","111,357"
29,"16,993","14,629"
30,"10,666","6,035"
31,"4,862","5,459"
32,"7,010","5,499"
34,"22,382","17,647"
,"1,139,672","987,810"
35,"47,817","19,668"
36,"837,141","767,224"
37,"30,208","14,428"
38,"6,681","6,858"
19,"5,644",-
33,655,-
47,458,177
40,"37,561","37,032"
,"966,165","845,387"
41,"3,213","3,213"
,"27,690","27,690"
42,"7,959","2,155"
42,"(8,385)","(6,668)"
42,"141,236","116,033"
,"171,713","142,423"
,"1,794",-
,"173,507","142,423"
,"1,139,672","987,810"
