2017,Column,2018,Column,2019,Column,2020,Column,2021,Column
"19,146",37.3%,"17,007",31.3%,"19,459",31.8%,"20,451",38.9%,"24,729",31.3%
"9,410",18.3%,"9,864",18.1%,"11,732",19.2%,"6,115",11.6%,"13,642",17.3%
"9,198",17.9%,"10,731",19.7%,"11,099",18.1%,"3,213",6.1%,"9,640",12.2%
"10,506",20.5%,"13,264",24.4%,"14,066",23.0%,"16,391",31.2%,"24,559",31.1%
"2,791",5.4%,"3,146",5.8%,"4,387",7.2%,"5,919",11.3%,"6,028",7.6%
291,0.6%,339,0.7%,481,0.8%,511,1.0%,399,0.5%
"51,342",100%,"54,351",100%,"61,224",100%,"52,600",100%,"78,996",100%
