"Profit or Loss
For the year ended
31-Dec-22","Corporate
banking
KShs million","Retail
banking
KShs million","Treasury
KShs million","Mortgages
KShs million","Other
KShs million","Total
KShs million"
,"46,384","50,042","35,577",-,-,"132,003"
,"(12,413)","(12,800)","(2,597)",-,"(3,288)","(31,098)"
,"33,971","37,242","32,980",-,"(3,288)","100,905"
,"4,592","7,847",-,-,-,"12,439"
,-,"3,806","11,062",-,45,"14,913"
,-,-,-,-,"(6,615)","(6,615)"
,"(7,690)","(4,141)",-,-,-,"(11,831)"
,"(5,733)","(26,016)",(286),-,"(20,716)","(52,751)"
,"25,140","18,738","43,756",-,"(30,574)","57,060"
,-,-,-,-,271,271
,"25,140","18,738","43,756",-,"(30,303)","57,331"
,"(7,233)","(5,391)","(12,589)",-,"8,718","(16,494)"
,"17,907","13,347","31,167",-,"(21,585)","40,837"
