KShs Millions,Column,"Actual
Sep -15","Actual
Sep-14","% Y-O-Y
Change"
F,unding Portfolio,,,
C,ustomer Deposits,"471,055","350,104",35%
B,alances due to other banks,"19,145","9,319",105%
O,ther liabilities,"12,715","8,007",59%
L,ong-term debt,"22,507","13,159",71%
To,tal Liabilities,"525,423","380,588",38%
S,hare capital,"3,025","3,025",0%
R,eserves and premium,"78,804","67,953",16%
S,hareholders’ Equity,"81,829","70,978",15%
To,tal Liabilities and Equity,"607,252","451,566",34%
,19,,,
