"leasehold
improvements
Kshs.‘000",Column,"total
Kshs.‘000"
"77,308
-
-","11,225,781
1,065,935
(481,948)","13,085,546
1,065,935
(513,237)"
"77,308","11,809,768","13,638,244"
"75,821
1,487
-","7,115,917
1,246,282
(454,309)","7,467,725
1,270,770
(463,684)"
"77,308","7,907,890","8,274,811"
-,"3,901,878","5,363,433"
"77,308
-
-
-","10,422,700
1,032,720
(928)
(228,710)","12,043,987
1,271,120
-
(229,560)"
"77,308","11,225,782","13,085,547"
"75,821
-
-
-","6,083,266
1,233,926
(85)
(201,191)","6,419,222
1,249,952
-
(201,450)"
"75,821","7,115,916","7,467,724"
"1,487","4,109,866","5,617,823"
