H1 21,FY 21,Q1 22,Column,"KCB
Kenya","KCB
Group"
,22.4%,23.4%,,25.9%,23.0%
,44.0%,44.5%,Cost to income,38.2%,45.7%
,16.5%,17.0%,Gross NPL to gross loans,22.8%,21.5%
,60.0%,61.6%,NPL coverage,45.2%,54.6%
,21.3%,20.8%,Debt to equity,26.8%,22.5%
,28.5%,32.0%,Non funded income (NFI) to total income,31.8%,32.1%
,25.3%,30.4%,Mobile NFI to total fees and commissions,29.6%,21.8%
,2.8%,3.0%,Cost of funds,2.8%,3.0%
,7.6%,7.0%,Net interest margin,7.5%,7.0%
,2.0%,1.2%,Cost of risk,1.2%,1.2%
,80.7%,83.3%,Net loans to deposits ratio,83.5%,80.4%
,24.2%,24.1%,Government securities to total assets,22.9%,23.5%
,13.5%,18.0%,Growth of net loans and advances,13.1%,20.3%
,9.1%,12.9%,,12.2%,15.6%
