KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED,Column
"31-Dec-23
Kshs 000
Audited","31-Dec-22
Kshs 000
Audited","31-Dec-23
Kshs 000
Audited","31-Dec-22
Kshs 000
Audited","31-Dec-23
Kshs 000
Audited","31-Dec-22
Kshs 000
Audited","31-Dec-23
Kshs 000
Audited","31-Dec-22
Kshs 000
Audited"
,"10,332,230
32,017,676
-
-
126,184,144
-
77,640,039
2,065,406
1,700,652
23,430,225
2,306,005
613,892,181
10,228,308
446,875
-
-
12,600,607
9,812,222
117,027
3,439,459
20,130,483
-
25,009,222",,"1,432,365
3,806,747
-
-
-
24,564,568
295,081
23,831,380
-
1,722,415
856,588
35,633
71,188,674
20,504
630,147
24,963
-
-
2,107,445
-
413,519
4,423,855
-
7,415,390",,"-
-
-
-
-
-
-
-
711,662
-
90,291
-
-
-
114,270,238
-
-
828,090
-
3,545
109,865
-
61,405",,
"12,004,831",,"2,093,761",,-,,"33,872,211",
"37,025,707",,"6,115,301",,-,,"43,141,008",
-,,-,,-,,-,
-,,-,,-,,-,
-,,-,,,,-,
"141,142,941",,"23,798,376",,-,,"165,397,160",
-,,"295,081",,-,,"31,530,068",
"160,391,132",,"22,212,977",,-,,"183,500,472",
"1,962,601",,-,,-,,"16,774,484",
-,,"6,095,778",,"926,902",,"6,095,778",
"222,625,002",,"2,457,670",,-,,"423,412,352",
-,,"275,374",,"113,188",,-,
"740,241,723",,"79,483,476",,-,,"1,095,933,214",
"8,151,025",,"29,692",,"4,685,722",,-,
"590,558",,"989,304",,-,,"1,579,861",
-,,"5,000",,"114,280,238",,-,
-,,-,,-,,-,
"12,600,607",,-,,-,,"19,190,742",
"11,388,392",,"1,890,183",,"840,667",,"26,885,118",
"114,532",,-,,-,,"119,789",
"3,155,620",,"995,902",,"1,491",,"19,324,498",
"29,773,610",,"6,786,926",,"77,956",,"38,463,248",
-,,-,,-,,-,
"44,201,546",,"7,581,563",,"88,959",,"65,653,989",
"1,425,369,827","971,352,761","161,106,364","142,769,274","121,015,123","116,075,096","2,170,873,992",
,"37,227,730
694,515,583
14,203,190
11,388,422
-
54,574,726
1,321,852
-
3,213,463
-
585,000
30,928,460",,"-
105,675,307
12,276,816
6,213,529
-
628,790
38,104
-
-
-
-
2,846,796",,"-
-
-
-
-
-
2,360,330
-
-
-
-
765,947",,
"44,054,813",,"10,022,068",,-,,"57,374,970",
"1,116,875,397",,"118,307,630",,-,,"1,690,908,411",
"2,841,913",,"1,437,359",,-,,"6,833,383",
"9,571,500",,"3,721,647",,-,,"23,601,108",
-,,-,,-,,-,
"75,277,742",,"5,509,747",,-,,"88,658,067",
"1,072,354",,"103,494",,"9,886,278",,-,
"1,265,190",,-,,-,,"3,667,590",
-,,-,,-,,-,
-,,-,,-,,"3,459,000",
"601,000",,-,,-,,"1,150,492",
"35,092,114",,"11,431,352",,"625,186",,"58,863,076",
"1,286,652,023","847,958,426","150,533,297","127,679,342","10,511,464","3,126,277","1,934,516,097",
,"53,986,100
-
-
42,463,463
26,755,145
(4,195,571)
4,385,198
-",,"12,683,038
3,141,319
-
(4,324,159)
4,374,215
(784,481)
-
-",,"3,213,463
27,690,149
-
75,618,281
-
-
6,426,926
-",,
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463",
-,,"3,141,319",,"27,690,149",,"27,690,149",
-,,-,,-,,"(9,605)",
"77,018,593",,"(6,939,156)",,"79,600,047",,"191,563,019",
"17,609,858",,"3,647,302",,-,,"17,628,544",
"(9,896,747)",,"(1,959,436)",,-,,"(11,765,532)",
-,,-,,-,,-,
-,,-,,-,,-,
"138,717,804","123,394,335","10,573,067","15,089,932","110,503,659","112,948,819","228,320,038",
-,-,-,-,-,-,"8,037,857",
"1,425,369,827","971,352,761","161,106,364","142,769,274","121,015,123","116,075,096","2,170,873,992",
,"59,625,463
23,482,989
222,611
-",,"7,499,952
5,616,106
40,017
35,501",,"-
-
19,383
-",,
"74,671,015",,"7,590,011",,-,,"121,633,439",
"32,498,604",,"5,642,888",,-,,"42,685,815",
"2,629,985",,"125,673",,"33,709",,"3,855,694",
-,,"35,501",,"218,051",,-,
"109,799,604","83,331,063","13,394,073","13,191,576","251,760","19,383","168,174,948",
,"17,834,494
3,777,636
337,545",,"3,123,059
853,860
171,048",,"-
-
-",,
"32,241,049",,"3,912,421",,-,,"41,824,359",
"12,492,319",,"1,186,173",,-,,"18,544,986",
"291,444",,"391,432",,"218,051",,"471,620",
"45,024,812","21,949,675","5,490,026","4,147,967","218,051",-,"60,840,965",
"64,774,792","61,381,388","7,904,047","9,043,609","33,709","19,383","107,333,983",
,"9,687,992
7,489,825
8,916,989
-
5,274,148",,"182,740
781,435
964,611
-
390,978",,"-
-
13,504
32,824,414
1,412,053",,
"10,072,187",,"302,143",,-,,"11,400,891",
"11,644,226",,"1,366,559",,-,,"27,027,250",
"7,276,984",,"952,087",,"31,446",,"10,844,304",
-,,"51,144",,"1,091,168",,-,
"4,332,503",,"596,877",,"1,328,965",,"8,632,280",
"33,325,900","31,368,954","3,268,810","2,319,764","2,451,579","34,249,971","57,904,725",
"98,100,692","92,750,342","11,172,857","11,363,373","2,485,288","34,269,354","165,238,708",
,"8,560,331
18,518,101
433,849
185,795
2,169,789
1,517,741
12,453,787",,"2,003,475
4,694,743
35,038
123,551
589,774
285,536
2,783,626",,"-
1,210,780
78,244
-
15,693
2,026
840,816",,
"25,063,168",,"3,057,378",,-,,"33,635,567",
"19,851,859",,"4,564,411",,"613,127",,"38,143,333",
"488,337",,"25,998",,"348,150",,"670,453",
"236,405",,"190,589",,-,,"414,837",
"2,364,178",,"534,061",,"17,913",,"7,055,594",
"1,672,743",,"162,032",,"2,054",,"2,273,074",
"15,171,823",,"6,207,380",,"702,207",,"34,593,750",
"64,848,513","43,839,393","14,741,849","10,515,743","1,683,451","2,147,559","116,786,608",
"33,252,179","48,910,949","(3,568,992)","847,630","801,837","32,121,795","48,452,100",
-,-,"(708,394)",-,-,-,-,
"33,252,179","48,910,949","(4,277,386)","847,630","801,837","32,121,795","48,452,100",
"(15,493,212)","(14,684,118)","(924,045)","(553,222)","(1,625)","(34,419)","(21,595,476)",
"7,651,047","509,282","1,859,518","425,371","(31,909)","116,872","10,604,916",
"25,410,014","34,736,113","(3,341,913)","719,779","768,303","32,204,248","37,461,540",
-,-,-,-,-,-,"1,285,591",
"25,410,014","34,736,113","(3,341,913)","719,779","768,303","32,204,248","37,461,540",
-,"-
(4,281,932)
(218,000)
-
1,349,980",,"-
(1,134,300)
-
-
340,290",,"-
-
-
-
-",-,
-,,-,,-,,"5,861,396",
"(8,228,538)",,"(1,678,508)",,-,,"(9,221,163)",
"84,000",,-,,-,,"84,000",
-,,-,,-,,-,
"2,443,361",,"503,552",,-,,"2,741,149",
"(5,701,177)","(3,149,952)","(1,174,956)","(794,010)",-,-,"(534,618)",
"19,708,837","31,586,161","(4,516,869)","(74,231)","768,303","32,204,248","36,926,922",
0.47,0.64,(0.71),0.10,0.24,10.02,11.66,
-,0.58,-,-,,,-,
,"129,110,413
10,700,324",,"18,495,986
2,434,820",,,,
"166,261,943",,"25,186,337",,,,"208,298,144",
"19,536,792",,"2,719,289",,,,"22,851,247",
"146,725,151","118,410,089","22,467,048","16,061,166",,,"185,446,897",
"83,222,474","52,055,838","11,773,029","10,227,482",,,"107,322,266",
"63,502,677","66,354,251","10,694,019","5,833,684",,,"78,124,631",
"51,484,289","62,146,449","9,814,256","5,575,691",,,"65,970,265",
"12,018,388","4,207,802","879,763","257,994",,,"12,154,366",
-,"10,588,373
14,749,609",,"19
5,725,588",,,,
"20,758,516",,78,,,,"24,725,772",
"14,114,560",,"5,126,033",,,,"22,637,840",
"34,873,076","25,337,982","5,126,111","5,725,607",,,"47,363,612",
,"111,462,201
4,928,705
-",,"8,622,735
6,121,453
-",,,,
"452,930,457",,"16,359,516",,,,"526,316,695",
"5,181,610",,"15,700",,,,"5,383,047",
-,,-,,,,-,
"458,112,067","116,390,906","16,375,216","14,744,188",,,"531,699,742",
"114,331,552","85,964,036","8,183,125","11,034,430",,,"209,384,441",
"1,000,000","1,000,000","1,000,000","1,000,000",,,"1,000,000",
"113,331,552","84,964,036","7,183,125","10,034,430",,,"208,384,441",
"39,256,396","34,786,348","5,457,095","1,129,549",,,"48,401,957",
"153,587,948","120,750,384","13,640,220","12,163,978",,,"257,786,398",
"971,783,711","792,142,822","109,242,549","90,363,905",,,"1,477,535,129",
10.1%,12.2%,6.7%,10.0%,,,14.2%,
8.0%,8.0%,8.0%,8.0%,,,8.0%,
2.1%,4.2%,-1.3%,2.0%,,,6.2%,
11.8%,10.9%,7.5%,12.2%,,,12.2%,
10.5%,10.5%,10.5%,10.5%,,,10.5%,
1.3%,0.4%,-3.0%,1.7%,,,1.7%,
15.8%,15.2%,12.5%,13.5%,,,17.4%,
14.5%,14.5%,14.5%,14.5%,,,14.5%,
1.3%,0.7%,-2.0%,-1.0%,,,2.9%,
46.2%,29.9%,43.5%,40.5%,,,48.5%,
20.0%,20.0%,20.0%,20.0%,,,20.0%,
26.2%,9.9%,23.5%,20.5%,,,28.5%,
