Note,"2021
KShs million","2020
KShs million"
44,"10,897","8,458"
,(12),(21)
32,"(8,302)",(435)
,"(8,314)",(456)
,"(3,213)","(8,033)"
,"(3,213)","(8,033)"
,(630),(31)
,"1,147","1,178"
44,517,"1,147"
