"31-Dec-16
Kshs 000","31-Mar-17
Kshs 000",Column,"31-Dec-16
Kshs 000","31-Mar-17
Kshs 000"
Audited,Un-Audited,,Audited,Un-Audited
"28,333,247","29,830,144",,"31,812,856","32,151,386"
"4,210,013","4,443,776",,"4,609,881","4,746,065"
"24,123,234","25,386,367","26,362,349","27,202,975","27,405,321"
"14,921,244","18,220,729","12,603,423","16,460,084","19,250,483"
"9,201,990","7,165,639","13,758,926","10,742,891","8,154,838"
"9,362,800","5,155,858","10,654,600","9,455,231","6,169,886"
"(160,810)","2,009,781","3,104,326","1,287,660","1,984,952"
,,"- 687,083
- 11,886,193",,
"5,143,843","2,606,949",,"4,818,059","2,671,024"
"11,944,993","11,917,042",,"12,738,369","12,585,442"
"17,088,836","14,523,991","- 12,573,276","17,556,428","15,256,465"
,,"60,998,007
6,940,268
-",,
"52,197,440","60,455,126",,"54,949,849","62,937,121"
"5,687,611","9,626,333",,"6,114,779","10,596,655"
-,,,-,-
"57,885,051","70,081,459","67,938,275","61,064,628","73,533,776"
,,"75,655,525
6,803,947",,
"63,353,946","63,528,955",,"94,615,031","90,663,612"
"1,000,000","1,000,000",,"6,713,989","6,718,624"
"62,353,946","62,528,955","68,851,578","87,901,042","83,944,988"
"13,080,489","13,338,149","5,776,258","6,414,324","6,494,557"
"76,434,435","76,867,104","81,431,783","101,029,355","97,158,169"
"430,839,082","451,451,942",,"513,145,930","519,564,599"
16.4%,16.0%,,21.1%,19.8%
8.0%,8.0%,,8.0%,8.0%
8.4%,8.0%,,13.1%,11.8%
14.7%,14.1%,,18.4%,17.4%
10.5%,10.5%,,10.5%,10.5%
4.2%,3.6%,,7.9%,6.9%
17.7%,17.0%,,19.7%,18.7%
14.5%,14.5%,,14.5%,14.5%
3.2%,2.5%,,5.2%,4.2%
30.3%,30.6%,,37.5%,38.7%
20.0%,20.0%,,20.0%,20.0%
10.3%,10.6%,,17.5%,18.7%
