Director9s Name,Directors9 fees,Sitting allowance,Other allowances (1),Non-cash beneût (2),Total
,KShs. 80009,KShs. 80009,KShs. 80009,KShs. 80009,KShs. 80009
,,,,,"13,882"
,,,,,"3,200"
,,,,,"13,470"
,,,,,"12,759"
,,,,,"13,398"
,,,,,"11,425"
,,,,,"7,765"
,,,,,"5,298"
,,,,,"1,448"
,,,,,"82,645"
